cs_chr	cs_start	cs_end	Attraktion_tgt_chr	Attraktion_tgt_start	Attraktion_tgt_end	n_anchors	mean_identity
Chr6D	65705290	68364085	Chr6D	56990051	59619476	24	0.99975
Chr6D	43783	27630303	Chr6D	39657	26807097	499	0.9987615230460922
Chr6D	32741204	38579793	Chr6D	31045121	38821021	92	0.9995217391304346
Chr6D	41537060	46120294	Chr6D	41889207	46503707	67	0.9992238805970148
Chr6D	49876700	56759409	Chr6D	49394113	54892322	54	0.9985925925925926
Chr6D	68428557	186375773	Chr6D	64771783	180712087	902	0.999219512195122
Chr6D	188380630	235958205	Chr6D	182692162	229257480	72	0.9998472222222223
Chr6D	238222872	248745870	Chr6D	231730376	242224548	15	0.9993333333333333
Chr6D	253451229	261093398	Chr6D	246927180	254552488	12	0.9995833333333334
Chr6D	263489417	302615547	Chr6D	256946977	297782591	144	0.9989513888888888
Chr6D	304859324	436495956	Chr6D	300010377	431431461	1032	0.999576550387597
Chr6D	439160889	495303957	Chr6D	434090353	490541404	893	0.9945912653975365
