cs_chr	cs_start	cs_end	Kariega_tgt_chr	Kariega_tgt_start	Kariega_tgt_end	n_anchors	mean_identity
Chr6B	4126216	4889300	Chr6B	2371263	3187080	14	0.9772857142857142
Chr6B	168584	103962989	Chr6B	1114253	110234203	1024	0.994421875
Chr6B	106468710	109142658	Chr6B	112744396	115406998	7	0.9997142857142858
Chr6B	111685641	240401733	Chr6B	120553363	249981915	744	0.9940026881720431
Chr6B	243269422	252842611	Chr6B	252939519	262653825	29	0.9978965517241379
Chr6B	255004953	262472341	Chr6B	264798922	272488684	30	0.9928
Chr6B	297302724	300720582	Chr6B	307192764	310601459	20	0.9956999999999999
Chr6B	341712366	343111521	Chr6B	353674335	355042308	5	0.9952
Chr6B	371611328	374970725	Chr6B	381382824	384733605	5	0.998
Chr6B	402215985	424306904	Chr6B	416860635	438625831	56	0.9959464285714287
Chr6B	430193107	441049080	Chr6B	439425999	456214219	51	0.9978039215686274
Chr6B	444540716	463372479	Chr6B	459641799	478152778	97	0.9960412371134022
Chr6B	497882358	502485757	Chr6B	511295839	515885119	24	0.9998333333333335
Chr6B	546200866	560625390	Chr6B	563074869	577501698	74	0.9985270270270271
Chr6B	563998224	620708761	Chr6B	578320148	636259763	360	0.9954833333333333
Chr6B	622726250	626889431	Chr6B	638455909	642663838	34	0.9955588235294118
Chr6B	630465748	719901288	Chr6B	645162791	737374148	862	0.9898178654292343
Chr6B	720193282	720953306	Chr6B	731871463	732400703	9	0.9526666666666667
