cs_chr	cs_start	cs_end	Kariega_tgt_chr	Kariega_tgt_start	Kariega_tgt_end	n_anchors	mean_identity
Chr7A	146678066	157014280	Chr7A	169765886	180719877	76	0.9954868421052631
Chr7A	163106699	171949346	Chr7A	153634817	162795559	78	0.994974358974359
Chr7A	211205518	211732393	Chr7A	167804384	168368385	16	0.9895625
Chr7A	239629	71670370	Chr7A	292870	75421342	918	0.9915806100217864
Chr7A	73730871	146026136	Chr7A	78653896	152918232	692	0.9965332369942197
Chr7A	157170800	162928973	Chr7A	163090911	169620507	32	0.9953125
Chr7A	171535728	311914665	Chr7A	181630698	320022002	685	0.9977927007299269
Chr7A	314415263	356369547	Chr7A	322512033	364633550	82	0.9988170731707318
Chr7A	359051136	360613751	Chr7A	367259536	368801558	3	0.999
Chr7A	362739671	388772773	Chr7A	373178324	400678182	38	0.9996578947368422
Chr7A	391904207	531732049	Chr7A	403791819	543933266	600	0.9982783333333332
Chr7A	548563503	554501854	Chr7A	561095437	566970211	35	0.9998
Chr7A	571271746	736698014	Chr7A	583970308	755363076	1591	0.9953079824010056
Chr7A	532469837	548350942	Chr7A	567172930	583168784	157	0.9986178343949044
Chr7A	554852568	570175328	Chr7A	545329030	560735358	138	0.99881884057971
