cs_chr	cs_start	cs_end	Kariega_tgt_chr	Kariega_tgt_start	Kariega_tgt_end	n_anchors	mean_identity
Chr6A	57605	162912229	Chr6A	2350546	163105666	1426	0.992523842917251
Chr6A	166503285	172174207	Chr6A	166647143	172298028	30	0.9994333333333335
Chr6A	174450789	233957452	Chr6A	174555442	233630597	206	0.9990970873786409
Chr6A	241266065	242194840	Chr6A	240865328	241781634	3	1.0
Chr6A	248542355	252837117	Chr6A	248199948	252459602	8	1.0
Chr6A	254937051	261705155	Chr6A	254662817	261390990	22	0.9993636363636363
Chr6A	263891514	273262995	Chr6A	263560067	273066046	22	0.9984999999999999
Chr6A	276303162	290261504	Chr6A	276773457	292687041	20	0.9998000000000001
Chr6A	297918322	317154843	Chr6A	299259110	318306805	21	0.9997619047619049
Chr6A	321270304	324290097	Chr6A	322379967	325347278	8	0.9995
Chr6A	326393120	330049812	Chr6A	327429090	331077929	6	1.0
Chr6A	332183472	344185082	Chr6A	333201935	345122787	16	0.9955
Chr6A	346572929	346594380	Chr6A	347496720	347518171	3	1.0
Chr6A	351830716	353340072	Chr6A	352842398	354344587	4	0.999
Chr6A	355403353	526163009	Chr6A	356396762	526302028	865	0.9989745664739884
Chr6A	528582629	614842750	Chr6A	528698523	619971045	1075	0.9937748837209303
Chr6A	617555477	617928339	Chr6A	622106246	622583037	7	0.9978571428571428
