cs_chr	cs_start	cs_end	Kariega_tgt_chr	Kariega_tgt_start	Kariega_tgt_end	n_anchors	mean_identity
Chr4D	410678	140903099	Chr4D	215460	143802522	1430	0.9991776223776224
Chr4D	143579930	155648423	Chr4D	146463165	158454326	16	0.9996875000000001
Chr4D	163412513	183387226	Chr4D	166218022	186712120	26	0.9998846153846154
Chr4D	188710899	192736636	Chr4D	193648450	197632473	6	0.9998333333333332
Chr4D	195017915	198583229	Chr4D	199900778	203437647	7	0.9997142857142858
Chr4D	201443437	212157624	Chr4D	206719261	219835714	28	0.99925
Chr4D	214312396	228145178	Chr4D	221965747	235731032	23	0.9998695652173915
Chr4D	230482531	238626311	Chr4D	237934748	246240788	11	0.9994545454545456
Chr4D	240933419	248933627	Chr4D	248521072	257383246	19	0.9996842105263157
Chr4D	251524682	256552996	Chr4D	259952548	264958218	7	0.995
Chr4D	258897131	261254698	Chr4D	267272774	269670771	6	0.9998333333333335
Chr4D	263946972	268074619	Chr4D	272349555	276439916	7	0.9984285714285714
Chr4D	270654719	329311457	Chr4D	279026623	337789580	242	0.9990661157024794
Chr4D	331638064	375735889	Chr4D	340070951	384158166	302	0.9996225165562914
Chr4D	377828182	410407878	Chr4D	386291746	422049522	236	0.9992415254237289
Chr4D	412715801	509853899	Chr4D	424836276	525785779	1161	0.999257536606374
Chr4D	505700667	507006408	Chr4D	527933290	529237247	24	0.9998333333333335
