cs_chr	Kariega_tgt_chr	n_anchors	Kariega_mean_anchor_gap_Mb	Kariega_interp_type	n_segments	Kariega_mean_anchor_fraction
Chr1A	Chr1A+Chr1A+Chr1A+Chr1A+Chr1A	3912	0.083	linear+linear+linear+pchip+linear	5	0.941
Chr1B	Chr1B+Chr1B+Chr1B+Chr1B+Chr1B+Chr1B+Chr1B	4318	0.125	linear+linear+linear+linear+linear+pchip+linear	7	0.939
Chr1D	Chr1D+Chr1D	4381	0.075	linear+linear	2	0.984
Chr2A	Chr2A+Chr2A+Chr2A+Chr2A+Chr2A+Chr2A+Chr2A	5191	0.514	linear+pchip_inverted+linear+linear+linear+linear+linear	7	0.898
Chr2B	Chr2B+Chr2B+Chr2B+Chr2B+Chr2B	5519	0.205	linear+linear+linear+linear+linear	5	0.935
Chr2D	Chr2D+Chr2D	5626	0.089	linear+pchip_inverted	2	0.976
Chr3A	Chr3A+Chr3A+Chr3A+Chr3A+Chr3A	4978	0.119	linear+linear+linear+pchip_inverted+pchip	5	0.968
Chr3B	Chr3B+Chr3B+Chr3B	5400	0.108	linear+linear+linear	3	0.933
Chr3D	Chr3D+Chr3D+Chr3D+Chr3D+Chr3D+Chr3D+Chr3D	5084	0.116	linear+linear+pchip_inverted+linear+pchip_inverted+pchip_inverted+linear	7	0.977
Chr4A	Chr4A+Chr4A+Chr4A+Chr4A+Chr4A+Chr4A+Chr4A+Chr4A+Chr4A+Chr4A	4479	0.221	linear+linear+pchip_inverted+linear+linear+linear+linear+linear+linear+linear	10	0.96
Chr4B	Chr4B+Chr4B+Chr4B+Chr4B+Chr4B+Chr4B	3759	0.579	linear+linear+linear+linear+linear+pchip	6	0.969
Chr4D	Chr4D+Chr4D	3555	0.101	linear+linear	2	0.993
Chr5A	Chr5A+Chr5A+Chr5A+Chr5A	5245	0.186	linear+linear+linear+linear	4	0.967
Chr5B	Chr5B+Chr5B+Chr5B+Chr5B+Chr5B+Chr5B	5111	0.114	linear+linear+linear+linear+linear+linear	6	0.914
Chr5D	Chr5D+Chr5D+Chr5D	5198	0.067	linear+linear+pchip	3	0.949
Chr6A	Chr6A+Chr6A+Chr6A+Chr6A	3815	0.067	linear+linear+linear+linear	4	0.965
Chr6B	Chr6B+Chr6B+Chr6B	3448	0.121	linear+linear+linear	3	0.659
Chr6D	Chr6D+Chr6D+Chr6D+Chr6D+Chr6D	3878	0.067	linear+linear+linear+linear+linear	5	0.982
Chr7A	Chr7A+Chr7A+Chr7A+Chr7A+Chr7A+Chr7A	5141	0.11	linear+pchip_inverted+linear+linear+pchip_inverted+pchip_inverted	6	0.957
Chr7B	Chr7B+Chr7B+Chr7B+Chr7B+Chr7B+Chr7B	4371	0.289	linear+linear+linear+linear+linear+linear	6	0.934
Chr7D	Chr7D+Chr7D+Chr7D+Chr7D	5303	0.063	linear+linear+linear+pchip_inverted	4	0.983
