gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Kariega_tgt_chr	Kariega_tgt_start	Kariega_tgt_end	Kariega_tgt_strand	Kariega_tgt_midpoint	Kariega_coverage	Kariega_identity	segment
gene:TraesCS3B02G000100	Chr3B	212892	214491	-	213691	Chr3B	3009806	3011356	+	3010581	0.988	0.984	collinear
gene:TraesCS3B02G000200	Chr3B	218045	222328	+	220186	Chr3B	3002075	3006358	-	3004216	1.0	0.999	collinear
gene:TraesCS3B02G000300	Chr3B	264854	267987	+	266420	Chr3B	2956924	2960057	-	2958490	1.0	0.997	collinear
gene:TraesCS3B02G000400	Chr3B	334498	337790	+	336144	Chr3B	2884256	2887534	-	2885895	1.0	0.996	collinear
gene:TraesCS3B02G000500	Chr3B	369389	373754	-	371571	Chr3B	2801864	2806230	+	2804047	0.994	0.991	collinear
gene:TraesCS3B02G000600	Chr3B	662656	666514	+	664585	Chr3B	2555449	2559365	-	2557407	0.981	0.941	collinear
gene:TraesCS3B02G000800	Chr3B	987268	990056	-	988662	Chr3B	1942636	1945060	+	1943848	0.997	0.94	collinear
gene:TraesCS3B02G000900	Chr3B	1230797	1232938	-	1231867	Chr3B	1792886	1795071	+	1793978	0.986	0.958	collinear
gene:TraesCS3B02G001300	Chr3B	1423130	1425955	+	1424542	Chr3B	1735607	1738379	+	1736993	0.964	0.931	collinear
gene:TraesCS3B02G001600	Chr3B	1586221	1588812	+	1587516	Chr3B	1641500	1644064	-	1642782	0.976	0.948	collinear
gene:TraesCS3B02G001700	Chr3B	1610969	1611570	+	1611269	Chr3B	1610166	1610707	-	1610436	0.965	0.936	collinear
gene:TraesCS3B02G001800	Chr3B	1612815	1613508	-	1613161	Chr3B	1608240	1608933	+	1608586	1.0	0.989	collinear
gene:TraesCS3B02G001900	Chr3B	1616559	1618398	-	1617478	Chr3B	1603345	1605200	+	1604272	0.995	0.971	collinear
gene:TraesCS3B02G002000	Chr3B	1783888	1789415	+	1786651	Chr3B	1431195	1436722	-	1433958	1.0	0.998	collinear
gene:TraesCS3B02G002100	Chr3B	2092828	2094256	+	2093542	Chr3B	3461328	3462746	+	3462037	0.993	0.988	collinear
gene:TraesCS3B02G002200	Chr3B	2101991	2104344	-	2103167	Chr3B	3478030	3480271	-	3479150	0.983	0.961	collinear
gene:TraesCS3B02G002300	Chr3B	2115065	2116840	-	2115952	Chr3B	3491003	3492803	-	3491903	1.0	0.974	collinear
gene:TraesCS3B02G002400	Chr3B	2128376	2130539	-	2129457	Chr3B	3702769	3704960	+	3703864	1.0	0.987	collinear
gene:TraesCS3B02G002500	Chr3B	2143432	2146356	-	2144894	Chr3B	3680502	3683388	+	3681945	0.992	0.989	collinear
gene:TraesCS3B02G002600	Chr3B	2160595	2163424	-	2162009	Chr3B	3651533	3654360	+	3652946	1.0	0.995	collinear
gene:TraesCS3B02G002700	Chr3B	2169304	2172368	-	2170836	Chr3B	3642527	3645590	+	3644058	1.0	0.998	collinear
gene:TraesCS3B02G002900	Chr3B	2255165	2257560	-	2256362	Chr3B	3566245	3568640	+	3567442	1.0	0.998	collinear
gene:TraesCS3B02G003000	Chr3B	2265612	2268203	-	2266907	Chr3B	3555810	3558191	+	3557000	1.0	0.99	collinear
gene:TraesCS3B02G003100	Chr3B	2279401	2288008	+	2283704	Chr3B	3540257	3548744	-	3544500	0.997	0.993	collinear
gene:TraesCS3B02G003200	Chr3B	2296534	2299603	+	2298068	Chr3B	3527896	3530960	-	3529428	1.0	0.996	collinear
gene:TraesCS3B02G003300	Chr3B	2308380	2311241	+	2309810	Chr3B	3516403	3519231	-	3517817	0.995	0.987	collinear
gene:TraesCS3B02G003400	Chr3B	2322937	2325102	+	2324019	Chr3B	3502531	3504722	-	3503626	1.0	0.989	collinear
gene:TraesCS3B02G003500	Chr3B	2335984	2338269	+	2337126	Chr3B	3716074	3718339	+	3717206	1.0	0.984	collinear
gene:TraesCS3B02G003600	Chr3B	2344024	2346291	+	2345157	Chr3B	3724759	3727013	+	3725886	0.993	0.986	collinear
gene:TraesCS3B02G003700	Chr3B	2396638	2398142	+	2397390	Chr3B	3781361	3783254	+	3782307	0.917	0.902	collinear
gene:TraesCS3B02G003800	Chr3B	2405944	2408431	+	2407187	Chr3B	3792395	3794870	+	3793632	0.993	0.99	collinear
gene:TraesCS3B02G003900	Chr3B	2416243	2417270	-	2416756	Chr3B	3802694	3803724	-	3803209	1.0	0.998	collinear
gene:TraesCS3B02G004100	Chr3B	2474280	2477547	+	2475913	Chr3B	3863529	3866796	+	3865162	1.0	0.994	collinear
gene:TraesCS3B02G004200	Chr3B	2484567	2488204	+	2486385	Chr3B	3873886	3877524	+	3875705	0.999	0.996	collinear
