cs_chr	cs_start	cs_end	Kariega_tgt_chr	Kariega_tgt_start	Kariega_tgt_end	n_anchors	mean_identity
Chr1B	170911	883679	Chr1B	179869	873405	5	0.998
Chr1B	1199296	1528665	Chr1B	1188366	1700924	14	0.983
Chr1B	2356152	3206803	Chr1B	2271144	3434312	12	0.9984999999999999
Chr1B	30395529	30881192	Chr1B	30543461	31043262	10	0.9988000000000001
Chr1B	183263315	207269331	Chr1B	187111522	210991256	74	0.9997702702702703
Chr1B	1818881	29492353	Chr1B	3382545	36840844	350	0.9908914285714286
Chr1B	31858804	76138867	Chr1B	38195618	85751450	305	0.9932163934426231
Chr1B	82063229	85441230	Chr1B	90833840	94190148	12	0.9995833333333334
Chr1B	87732453	123973559	Chr1B	96485431	133043084	213	0.9983286384976526
Chr1B	129176801	182198588	Chr1B	133175578	186064390	273	0.9978534798534798
Chr1B	209132337	218433567	Chr1B	215659558	224382677	19	0.9997894736842107
Chr1B	220753045	223795187	Chr1B	227396609	230462241	6	1.0
Chr1B	225799645	231641237	Chr1B	232447698	238254686	9	0.9991111111111112
Chr1B	234252905	243089038	Chr1B	240852258	252484168	14	0.9990714285714286
Chr1B	245942911	289694136	Chr1B	258531464	303028123	129	0.9985116279069767
Chr1B	292342566	292422556	Chr1B	305618950	305697233	5	0.99
Chr1B	294946215	314741626	Chr1B	308169889	331401902	68	0.9909264705882352
Chr1B	317013382	317917199	Chr1B	334320121	335394014	9	0.962111111111111
Chr1B	322108938	682025360	Chr1B	336301746	698910111	2722	0.9953141072740631
Chr1B	684044370	689851652	Chr1B	700429981	707282290	58	0.988155172413793
Chr1B	683265033	683732728	Chr1B	707590503	708112132	11	0.9985454545454545
