cs_chr	cs_start	cs_end	Kariega_tgt_chr	Kariega_tgt_start	Kariega_tgt_end	n_anchors	mean_identity
Chr2B	5785639	9198299	Chr2B	5300201	10531335	90	0.9991555555555556
Chr2B	362020345	367851602	Chr2B	388566548	394350244	16	0.9999375
Chr2B	375133991	379787029	Chr2B	268464032	273094238	15	0.9999333333333333
Chr2B	1173040	5717587	Chr2B	10598375	16120903	80	0.991
Chr2B	11180525	123101136	Chr2B	16236244	143371760	1127	0.9932360248447204
Chr2B	129392470	202920401	Chr2B	144530175	217566427	560	0.9954732142857141
Chr2B	205644786	240314058	Chr2B	217668570	252447484	205	0.9965365853658538
Chr2B	242536523	270216010	Chr2B	254904112	287753710	128	0.9992578125
Chr2B	272550652	303097333	Chr2B	290087542	320609551	46	0.9998043478260871
Chr2B	305321036	318205778	Chr2B	322990634	336194029	16	0.9998750000000001
Chr2B	320343927	333044217	Chr2B	338467844	351296881	21	0.999904761904762
Chr2B	335510269	342279112	Chr2B	353741664	360411664	8	0.999625
Chr2B	346670378	348088579	Chr2B	364095071	367133641	3	1.0
Chr2B	350304542	361286666	Chr2B	370553873	381487671	51	0.9996274509803922
Chr2B	368308226	374802272	Chr2B	381660094	388117551	36	0.9990277777777778
Chr2B	379832912	801254636	Chr2B	395121588	814571452	3112	0.9940244215938305
Chr2B	793579729	794050719	Chr2B	816730748	817676880	5	0.9474
