cs_chr	cs_start	cs_end	Kariega_tgt_chr	Kariega_tgt_start	Kariega_tgt_end	n_anchors	mean_identity
Chr1A	9156814	159522669	Chr1A	12500525	169882970	1009	0.9963686818632309
Chr1A	161671479	177484497	Chr1A	172055529	187800819	31	0.9996774193548388
Chr1A	179530042	182122609	Chr1A	190139673	192713972	6	0.9996666666666667
Chr1A	184934985	193518233	Chr1A	195504108	204040966	12	0.9998333333333335
Chr1A	200578799	202086777	Chr1A	211221559	212716615	5	1.0
Chr1A	204319371	209358469	Chr1A	214935526	219919123	7	0.9995714285714286
Chr1A	212017564	410154980	Chr1A	222417591	423568224	918	0.9963769063180827
Chr1A	412459137	420515127	Chr1A	425939319	434647311	23	0.9965652173913043
Chr1A	423163477	547507742	Chr1A	436456633	559900002	1231	0.9946393176279448
Chr1A	556941904	562118438	Chr1A	571338457	576678411	75	0.9934799999999998
Chr1A	571987978	593997588	Chr1A	586550291	613540002	313	0.9949680511182107
