cs_chr	cs_start	cs_end	Kariega_tgt_chr	Kariega_tgt_start	Kariega_tgt_end	n_anchors	mean_identity
Chr4A	82701	52611541	Chr4A	495230	52875293	562	0.9964964412811389
Chr4A	57165163	64573687	Chr4A	56570937	64083067	66	0.9949393939393941
Chr4A	69268831	78765803	Chr4A	67535927	77019040	65	0.9949230769230769
Chr4A	81276884	130504034	Chr4A	81636639	130515354	283	0.9964204946996466
Chr4A	132701921	192628546	Chr4A	132693401	192368152	261	0.999191570881226
Chr4A	195313531	220022826	Chr4A	195036348	219615210	45	0.9978888888888889
Chr4A	222107768	222562036	Chr4A	221693575	222154836	3	1.0
Chr4A	225313869	227091476	Chr4A	224876054	226636108	4	1.0
Chr4A	229493172	242884659	Chr4A	229006889	242349466	21	0.999952380952381
Chr4A	245258976	246711649	Chr4A	244702090	254161357	9	0.9998888888888889
Chr4A	248831802	263897149	Chr4A	256294327	271261829	21	0.9991428571428571
Chr4A	317080714	319832516	Chr4A	324769304	327515926	3	1.0
Chr4A	329170186	334268011	Chr4A	328949059	334136538	6	0.9994999999999999
Chr4A	338745706	350244063	Chr4A	338596687	349896704	23	0.9998695652173913
Chr4A	352270324	353874280	Chr4A	352030850	353624652	4	1.0
Chr4A	356554191	359638234	Chr4A	356262522	359304616	6	0.9998333333333335
Chr4A	362089683	365639149	Chr4A	361735122	365291205	5	1.0
Chr4A	373805571	387104269	Chr4A	375161278	388375016	15	0.9996666666666667
Chr4A	389242085	390892975	Chr4A	390497390	392115112	3	1.0
Chr4A	395027325	398506001	Chr4A	396224708	399667876	6	1.0
Chr4A	400757887	401303656	Chr4A	401887312	402438444	3	0.999
Chr4A	407610912	420517232	Chr4A	408684897	421566806	17	0.9995882352941176
Chr4A	422761993	508494353	Chr4A	423791182	509020623	415	0.9980530120481927
Chr4A	510639254	641610833	Chr4A	511131635	645642976	1459	0.9969588759424264
Chr4A	660452726	668749335	Chr4A	664199649	675055019	90	0.9846111111111109
Chr4A	686530004	713834218	Chr4A	696369829	729319399	265	0.9989056603773586
