cs_chr	cs_start	cs_end	Kariega_tgt_chr	Kariega_tgt_start	Kariega_tgt_end	n_anchors	mean_identity
Chr7B	155467825	169470795	Chr7B	170323779	184280968	75	0.9940266666666667
Chr7B	171985598	278933515	Chr7B	186714663	293719167	409	0.9982958435207824
Chr7B	281386105	293981562	Chr7B	296137491	310349191	20	0.99915
Chr7B	297390309	307364806	Chr7B	318977941	328766690	19	0.9997894736842107
Chr7B	312814982	340640628	Chr7B	159718593	357692769	98	0.997591836734694
Chr7B	342994491	357646983	Chr7B	346877791	371451379	17	0.9997058823529412
Chr7B	34838	154814815	Chr7B	668116	158924545	1202	0.9966613976705492
Chr7B	295082068	296338725	Chr7B	303089966	304451288	3	0.9996666666666667
Chr7B	310413787	312442469	Chr7B	316236783	318124648	5	1.0
Chr7B	337929275	339223535	Chr7B	345390108	346594896	3	1.0
Chr7B	357994137	389109218	Chr7B	361834261	398100669	135	0.998888888888889
Chr7B	391956637	405970176	Chr7B	400967736	414991677	52	0.9995384615384615
Chr7B	408568404	419042240	Chr7B	417568365	428131778	45	0.9997777777777779
Chr7B	421064524	541167218	Chr7B	430122901	551481508	765	0.9970549019607843
Chr7B	543188151	662755254	Chr7B	553465788	672336715	798	0.9933609022556391
Chr7B	665385723	734772755	Chr7B	672753948	750220039	620	0.9881903225806452
Chr7B	738144856	742590334	Chr7B	751345238	759122954	37	0.9862162162162162
Chr7B	746173242	750609249	Chr7B	759301486	765222191	38	0.9820000000000001
Chr7B	672171774	672548180	Chr7B	674236252	674646739	6	1.0
Chr7B	691023956	692024510	Chr7B	708586181	709572617	7	0.9998571428571429
Chr7B	743138618	743709864	Chr7B	767211371	767722100	9	0.9699999999999999
Chr7B	744178070	744561656	Chr7B	765410946	765847076	7	0.9664285714285714
