cs_chr	cs_start	cs_end	Kariega_tgt_chr	Kariega_tgt_start	Kariega_tgt_end	n_anchors	mean_identity
Chr2A	260548731	262579565	Chr2A	253254882	255350068	7	0.9995714285714286
Chr2A	265274570	273294992	Chr2A	243338367	252062337	16	0.9928125000000001
Chr2A	275352399	278919157	Chr2A	237661572	241183832	18	0.9967777777777778
Chr2A	335394528	338546598	Chr2A	332411798	335639118	19	0.9957368421052631
Chr2A	342544978	348246088	Chr2A	361931959	367548126	10	0.9950000000000001
Chr2A	360420161	362049113	Chr2A	373041093	374702031	7	0.9977142857142857
Chr2A	254112	233473266	Chr2A	265796	236835193	2118	0.9960453257790367
Chr2A	255910505	257868596	Chr2A	258141644	260036304	7	0.9972857142857142
Chr2A	278994740	281746218	Chr2A	282263320	285037694	5	0.9986
Chr2A	283944564	286439768	Chr2A	287290133	289875326	5	0.9966000000000002
Chr2A	288988301	293951072	Chr2A	292383852	297213978	7	0.9907142857142858
Chr2A	300399162	306682759	Chr2A	304051323	310464050	8	0.9970000000000001
Chr2A	309689781	311156927	Chr2A	313442324	314893781	3	0.9973333333333333
Chr2A	313209792	315039543	Chr2A	318396836	320280188	3	0.992
Chr2A	317947462	324619894	Chr2A	323121982	329843718	12	0.9950000000000001
Chr2A	330397956	334887901	Chr2A	336157135	340622436	10	0.9884000000000001
Chr2A	340608829	341927845	Chr2A	349029201	350576497	3	0.9983333333333334
Chr2A	349721260	354530162	Chr2A	355528252	360453054	10	0.9957
Chr2A	364470917	366720526	Chr2A	368862316	371256555	6	0.9985
Chr2A	369216145	395710262	Chr2A	377114885	403083338	91	0.9962307692307691
Chr2A	398507174	398971793	Chr2A	407635819	407827357	3	0.9943333333333334
Chr2A	405468040	486499474	Chr2A	412798576	493909089	268	0.9966977611940299
Chr2A	488847564	547776466	Chr2A	496226449	554179989	316	0.9962721518987342
Chr2A	563202760	567735681	Chr2A	570672637	575210659	33	0.9983939393939395
Chr2A	582840575	761027623	Chr2A	589218634	771228127	1968	0.9964664634146342
Chr2A	771073879	775272273	Chr2A	778739861	783043265	58	0.9970172413793104
Chr2A	549288612	562982979	Chr2A	575421054	588875075	101	0.994732673267327
Chr2A	775308617	780777724	Chr2A	771558029	778703373	71	0.9687887323943661
