cs_chr	cs_start	cs_end	Kariega_tgt_chr	Kariega_tgt_start	Kariega_tgt_end	n_anchors	mean_identity
Chr7D	210218	13887459	Chr7D	417840	15154376	256	0.99900390625
Chr7D	14421585	277735513	Chr7D	16821451	289111217	2428	0.9987763591433276
Chr7D	282874482	285683864	Chr7D	294280134	297125729	5	0.9865999999999999
Chr7D	287902401	307163278	Chr7D	299336462	321381586	40	0.9991
Chr7D	309504249	313709460	Chr7D	323713199	327889205	11	1.0
Chr7D	318812712	321972400	Chr7D	330049434	333189125	6	1.0
Chr7D	324339077	340299388	Chr7D	335560490	351454005	18	0.9997777777777779
Chr7D	342405820	631639611	Chr7D	353526390	652252540	2426	0.999249793899423
Chr7D	634411530	638667898	Chr7D	652306101	656635502	56	0.9983928571428571
Chr7D	631685822	632087079	Chr7D	659157499	659556902	17	0.9983529411764707
Chr7D	632326990	634176652	Chr7D	656882598	658627711	38	0.9878947368421053
