gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Julius_tgt_chr	Julius_tgt_start	Julius_tgt_end	Julius_tgt_strand	Julius_tgt_midpoint	Julius_coverage	Julius_identity	segment
gene:TraesCS6A03G0050400	Chr6A	12818166	12818997	-	12818581	Chr6A	5986078	5986909	+	5986493	1.0	1.0	collinear
gene:TraesCS6A03G0050600	Chr6A	12837260	12838301	-	12837780	Chr6A	5966774	5967815	+	5967294	1.0	1.0	collinear
gene:TraesCS6A03G0050800	Chr6A	12900146	12904539	+	12902342	Chr6A	5900559	5904952	-	5902755	1.0	1.0	collinear
gene:TraesCS6A03G0050900	Chr6A	12958683	12962150	-	12960416	Chr6A	5844150	5847617	+	5845883	1.0	1.0	collinear
gene:TraesCS6A03G0051000	Chr6A	12972559	12975757	-	12974158	Chr6A	5830768	5833966	+	5832367	1.0	1.0	collinear
gene:TraesCS6A03G0051100	Chr6A	12991754	12995043	-	12993398	Chr6A	5807263	5810552	+	5808907	1.0	1.0	collinear
gene:TraesCS6A03G0051200	Chr6A	13081851	13084351	-	13083101	Chr6A	5718561	5721061	+	5719811	1.0	1.0	collinear
gene:TraesCS6A03G0051500	Chr6A	13167817	13168656	-	13168236	Chr6A	5634346	5635185	+	5634765	1.0	1.0	collinear
gene:TraesCS6A03G0078700	Chr6A	19426729	19427879	+	19427304	Chr6A	17381608	17382758	+	17382183	1.0	1.0	collinear
gene:TraesCS6A03G0078900	Chr6A	19555265	19558590	+	19556927	Chr6A	17506186	17509511	+	17507848	1.0	1.0	collinear
gene:TraesCS6A03G0079100	Chr6A	19566878	19570150	+	19568514	Chr6A	17517799	17521071	+	17519435	1.0	1.0	collinear
gene:TraesCS6A03G0079500	Chr6A	19627704	19628435	+	19628069	Chr6A	17578686	17579417	+	17579051	1.0	1.0	collinear
gene:TraesCS6A03G0079600	Chr6A	19664299	19667117	-	19665708	Chr6A	17615283	17618101	-	17616692	1.0	1.0	collinear
gene:TraesCS6A03G0079900	Chr6A	19678432	19684598	-	19681515	Chr6A	17629430	17635596	-	17632513	1.0	1.0	collinear
gene:TraesCS6A03G0080000	Chr6A	19688241	19693301	-	19690771	Chr6A	17639222	17644282	-	17641752	1.0	1.0	collinear
gene:TraesCS6A03G0080100	Chr6A	19787740	19792123	-	19789931	Chr6A	17738505	17742888	-	17740696	1.0	0.999	collinear
gene:TraesCS6A03G0080500	Chr6A	19851797	19855989	-	19853893	Chr6A	17792836	17797028	-	17794932	1.0	1.0	collinear
gene:TraesCS6A03G0080700	Chr6A	19922335	19929088	-	19925711	Chr6A	17862902	17869655	-	17866278	1.0	0.997	collinear
gene:TraesCS6A03G0080800	Chr6A	19935459	19945646	-	19940552	Chr6A	17875643	17885593	-	17880618	1.0	1.0	collinear
gene:TraesCS6A03G0080900	Chr6A	19948372	19949217	-	19948794	Chr6A	17888319	17889164	-	17888741	1.0	1.0	collinear
