cs_chr	cs_start	cs_end	Julius_tgt_chr	Julius_tgt_start	Julius_tgt_end	n_anchors	mean_identity
Chr1A	5849895	11157619	Chr1A	4549431	9139740	90	0.9958
Chr1A	16004516	160515631	Chr1A	14097954	158007133	914	0.9967866520787746
Chr1A	163678239	179324135	Chr1A	161206052	176871930	28	0.9992142857142857
Chr1A	181647298	184244993	Chr1A	178957803	181543747	5	0.9996
Chr1A	187212146	195578524	Chr1A	184547832	192910145	11	0.999909090909091
Chr1A	202719482	204217307	Chr1A	200100961	201569852	5	0.998
Chr1A	206439950	211446295	Chr1A	203850866	208874200	8	0.9998750000000001
Chr1A	215899220	411777219	Chr1A	210892836	407150125	905	0.9952773480662982
Chr1A	415385177	422384517	Chr1A	409580861	417801449	22	0.9932727272727271
Chr1A	425019660	516361311	Chr1A	419621374	510731146	816	0.9965147058823529
Chr1A	519763380	524247630	Chr1A	513862529	518543469	61	0.9915409836065573
Chr1A	528307657	590146052	Chr1A	523212201	584520965	886	0.993604966139955
Chr1A	596653013	597216213	Chr1A	586052901	586683903	7	0.9795714285714284
