gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Julius_tgt_chr	Julius_tgt_start	Julius_tgt_end	Julius_tgt_strand	Julius_tgt_midpoint	Julius_coverage	Julius_identity	segment
gene:TraesCS6D03G0037900	Chr6D	8268331	8270251	-	8269291	Chr6D	11892312	11894232	+	11893272	1.0	1.0	collinear
gene:TraesCS6D03G0038100	Chr6D	8281870	8283483	-	8282676	Chr6D	11879550	11881163	+	11880356	1.0	1.0	collinear
gene:TraesCS6D03G0038200	Chr6D	8320907	8324083	+	8322495	Chr6D	11839178	11842354	-	11840766	1.0	1.0	collinear
gene:TraesCS6D03G0038300	Chr6D	8328332	8328880	-	8328606	Chr6D	11834381	11834929	+	11834655	1.0	1.0	collinear
gene:TraesCS6D03G0038400	Chr6D	8347092	8348346	-	8347719	Chr6D	11815024	11816278	+	11815651	1.0	1.0	collinear
gene:TraesCS6D03G0038600	Chr6D	8396595	8400812	-	8398703	Chr6D	11762372	11766703	+	11764537	0.997	0.968	collinear
gene:TraesCS6D03G0038700	Chr6D	8405069	8408416	-	8406742	Chr6D	11754771	11758118	+	11756444	1.0	1.0	collinear
gene:TraesCS6D03G0039000	Chr6D	8455686	8457468	-	8456577	Chr6D	11714158	11715940	+	11715049	1.0	1.0	collinear
gene:TraesCS6D03G0039100	Chr6D	8489302	8491148	+	8490225	Chr6D	11680214	11682060	-	11681137	1.0	1.0	collinear
gene:TraesCS6D03G0039400	Chr6D	8503495	8505395	-	8504445	Chr6D	11665809	11667709	+	11666759	1.0	1.0	collinear
gene:TraesCS6D03G0039500	Chr6D	8581849	8587859	+	8584854	Chr6D	11582914	11588924	-	11585919	1.0	1.0	collinear
gene:TraesCS6D03G0039600	Chr6D	8588705	8590266	+	8589485	Chr6D	11580507	11582068	-	11581287	1.0	1.0	collinear
gene:TraesCS6D03G0039700	Chr6D	8615956	8622201	+	8619078	Chr6D	11545613	11551858	-	11548735	1.0	1.0	collinear
gene:TraesCS6D03G0040000	Chr6D	8632418	8635389	+	8633903	Chr6D	11532310	11535281	-	11533795	1.0	1.0	collinear
gene:TraesCS6D03G0040300	Chr6D	8655799	8657007	+	8656403	Chr6D	11507766	11508974	-	11508370	1.0	1.0	collinear
gene:TraesCS6D03G0040500	Chr6D	8665460	8666763	+	8666111	Chr6D	11498009	11499312	-	11498660	1.0	0.999	collinear
gene:TraesCS6D03G0040600	Chr6D	8672084	8677445	+	8674764	Chr6D	11487327	11492688	-	11490007	1.0	1.0	collinear
gene:TraesCS6D03G0040700	Chr6D	8684385	8685013	-	8684699	Chr6D	11480356	11480984	+	11480670	1.0	1.0	collinear
gene:TraesCS6D03G0040900	Chr6D	8804269	8804847	+	8804558	Chr6D	11355169	11355747	-	11355458	1.0	1.0	collinear
gene:TraesCS6D03G0041100	Chr6D	8822240	8823827	+	8823033	Chr6D	11331668	11333255	-	11332461	1.0	1.0	collinear
gene:TraesCS6D03G0041300	Chr6D	8836296	8836586	-	8836441	Chr6D	11318803	11319093	+	11318948	1.0	1.0	collinear
gene:TraesCS6D03G0041400	Chr6D	8837762	8838919	+	8838340	Chr6D	11316470	11317627	-	11317048	1.0	1.0	collinear
gene:TraesCS6D03G0041600	Chr6D	8898230	8898769	+	8898499	Chr6D	11256697	11257236	-	11256966	1.0	1.0	collinear
gene:TraesCS6D03G0041800	Chr6D	8914824	8922953	-	8918888	Chr6D	11232327	11240662	+	11236494	1.0	1.0	collinear
gene:TraesCS6D03G0041900	Chr6D	8924161	8925580	-	8924870	Chr6D	11229700	11231119	+	11230409	1.0	1.0	collinear
gene:TraesCS6D03G0042000	Chr6D	8927582	8929925	-	8928753	Chr6D	11225355	11227698	+	11226526	1.0	1.0	collinear
gene:TraesCS6D03G0042100	Chr6D	8932322	8934555	-	8933438	Chr6D	11220595	11222828	+	11221711	1.0	1.0	collinear
gene:TraesCS6D03G0042200	Chr6D	9029104	9030560	-	9029832	Chr6D	11109378	11110834	+	11110106	1.0	1.0	collinear
gene:TraesCS6D03G0042500	Chr6D	9074119	9075595	+	9074857	Chr6D	11063571	11065047	-	11064309	1.0	1.0	collinear
gene:TraesCS6D03G0042600	Chr6D	9078536	9080945	-	9079740	Chr6D	11058221	11060630	+	11059425	1.0	1.0	collinear
gene:TraesCS6D03G0042700	Chr6D	9083599	9089631	-	9086615	Chr6D	11049535	11055567	+	11052551	1.0	1.0	collinear
gene:TraesCS6D03G0043100	Chr6D	9183941	9184195	-	9184068	Chr6D	10955729	10955983	+	10955856	1.0	1.0	collinear
gene:TraesCS6D03G0043000	Chr6D	9183723	9188298	+	9186010	Chr6D	10951626	10956201	-	10953913	1.0	1.0	collinear
gene:TraesCS6D03G0043200	Chr6D	9241950	9244844	-	9243397	Chr6D	10895040	10897934	+	10896487	1.0	1.0	collinear
gene:TraesCS6D03G0043500	Chr6D	9274009	9275709	-	9274859	Chr6D	10864363	10866063	+	10865213	1.0	1.0	collinear
gene:TraesCS6D03G0043600	Chr6D	9310925	9312676	-	9311800	Chr6D	10827453	10829204	+	10828328	1.0	1.0	collinear
gene:TraesCS6D03G0043700	Chr6D	9321998	9322504	-	9322251	Chr6D	10817626	10818132	+	10817879	1.0	1.0	collinear
gene:TraesCS6D03G0044000	Chr6D	9403223	9403729	-	9403476	Chr6D	10735996	10736502	+	10736249	1.0	1.0	collinear
gene:TraesCS6D03G0044300	Chr6D	9463496	9468488	-	9465992	Chr6D	10672548	10677540	+	10675044	1.0	1.0	collinear
gene:TraesCS6D03G0044400	Chr6D	9472225	9475253	-	9473739	Chr6D	10665783	10668811	+	10667297	1.0	1.0	collinear
gene:TraesCS6D03G0044500	Chr6D	9480515	9484022	-	9482268	Chr6D	10657003	10660510	+	10658756	1.0	1.0	collinear
gene:TraesCS6D03G0044600	Chr6D	9483500	9483745	+	9483622	Chr6D	10657280	10657525	-	10657402	1.0	1.0	collinear
gene:TraesCS6D03G0044700	Chr6D	9489725	9490387	-	9490056	Chr6D	10650638	10651300	+	10650969	1.0	1.0	collinear
gene:TraesCS6D03G0044900	Chr6D	9499526	9500769	-	9500147	Chr6D	10640262	10641505	+	10640883	1.0	1.0	collinear
gene:TraesCS6D03G0045100	Chr6D	9576590	9577750	-	9577170	Chr6D	10563726	10564886	+	10564306	1.0	1.0	collinear
gene:TraesCS6D03G0045200	Chr6D	9580147	9581301	-	9580724	Chr6D	10560175	10561329	+	10560752	1.0	1.0	collinear
gene:TraesCS6D03G0045300	Chr6D	9583205	9590109	-	9586657	Chr6D	10551541	10558271	+	10554906	0.999	0.999	collinear
gene:TraesCS6D03G0045400	Chr6D	9592156	9595609	-	9593882	Chr6D	10546042	10549495	+	10547768	1.0	0.999	collinear
gene:TraesCS6D03G0045700	Chr6D	9802051	9802853	-	9802452	Chr6D	10477167	10477969	+	10477568	1.0	1.0	collinear
gene:TraesCS6D03G0045800	Chr6D	9817148	9817717	-	9817432	Chr6D	10462761	10463330	+	10463045	1.0	1.0	collinear
gene:TraesCS6D03G0045900	Chr6D	9846262	9846804	-	9846533	Chr6D	10426648	10427190	+	10426919	1.0	1.0	collinear
gene:TraesCS6D03G0046000	Chr6D	9847117	9851760	-	9849438	Chr6D	10421692	10426335	+	10424013	1.0	1.0	collinear
gene:TraesCS6D03G0046100	Chr6D	9855858	9860792	+	9858325	Chr6D	10412732	10417594	-	10415163	0.975	0.975	collinear
gene:TraesCS6D03G0046200	Chr6D	9861836	9862360	+	9862098	Chr6D	10411265	10411789	-	10411527	1.0	1.0	collinear
