gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Julius_tgt_chr	Julius_tgt_start	Julius_tgt_end	Julius_tgt_strand	Julius_tgt_midpoint	Julius_coverage	Julius_identity
gene:TraesCS4D03G0000100	Chr4D	409970	411319	-	410644	Chr4D	2178599	2179948	+	2179273	1.0	1.0
gene:TraesCS4D03G0000200	Chr4D	459723	463379	+	461551	Chr4D	2123405	2127061	-	2125233	1.0	1.0
gene:TraesCS4D03G0000300	Chr4D	463559	465496	-	464527	Chr4D	2121288	2123225	+	2122256	1.0	1.0
gene:TraesCS4D03G0000500	Chr4D	465900	467545	-	466722	Chr4D	2119239	2120884	+	2120061	1.0	1.0
gene:TraesCS4D03G0000700	Chr4D	475371	480193	+	477782	Chr4D	2106873	2111405	-	2109139	1.0	1.0
gene:TraesCS4D03G0000800	Chr4D	536039	548069	+	542054	Chr4D	2039287	2051317	-	2045302	1.0	1.0
gene:TraesCS4D03G0000900	Chr4D	603219	607023	-	605121	Chr4D	1981186	1984990	+	1983088	1.0	0.999
gene:TraesCS4D03G0001000	Chr4D	607335	608738	+	608036	Chr4D	1979471	1980874	-	1980172	1.0	1.0
gene:TraesCS4D03G0001300	Chr4D	624082	627372	+	625727	Chr4D	1961543	1964833	-	1963188	1.0	0.998
gene:TraesCS4D03G0001400	Chr4D	658413	659236	+	658824	Chr4D	1930826	1931649	-	1931237	1.0	1.0
gene:TraesCS4D03G0001700	Chr4D	734129	734515	+	734322	Chr4D	1855281	1855667	-	1855474	1.0	1.0
gene:TraesCS4D03G0001800	Chr4D	757227	759482	-	758354	Chr4D	1829952	1832207	+	1831079	1.0	1.0
gene:TraesCS4D03G0002200	Chr4D	1179628	1183031	+	1181329	Chr4D	1404455	1407858	-	1406156	1.0	1.0
gene:TraesCS4D03G0002300	Chr4D	1192267	1194439	+	1193353	Chr4D	1392953	1395125	-	1394039	1.0	1.0
gene:TraesCS4D03G0002500	Chr4D	1196998	1198699	-	1197848	Chr4D	1388693	1390394	+	1389543	1.0	1.0
gene:TraesCS4D03G0002600	Chr4D	1200365	1201407	+	1200886	Chr4D	1385985	1387027	-	1386506	1.0	1.0
gene:TraesCS4D03G0002700	Chr4D	1224901	1226574	+	1225737	Chr4D	1361330	1363003	-	1362166	1.0	1.0
gene:TraesCS4D03G0002800	Chr4D	1233656	1234699	+	1234177	Chr4D	1353065	1354096	-	1353580	0.987	0.987
gene:TraesCS4D03G0002900	Chr4D	1235849	1238078	+	1236963	Chr4D	1349686	1351915	-	1350800	1.0	1.0
gene:TraesCS4D03G0003000	Chr4D	1239892	1242834	+	1241363	Chr4D	1344929	1347872	-	1346400	1.0	1.0
gene:TraesCS4D03G0003100	Chr4D	1245411	1245824	-	1245617	Chr4D	1341944	1342357	+	1342150	1.0	1.0
gene:TraesCS4D03G0003500	Chr4D	1279798	1281379	+	1280588	Chr4D	1305954	1307535	-	1306744	1.0	1.0
gene:TraesCS4D03G0003700	Chr4D	1281940	1284304	+	1283122	Chr4D	1303029	1305393	-	1304211	1.0	1.0
gene:TraesCS4D03G0003800	Chr4D	1291459	1294621	+	1293040	Chr4D	1292712	1295874	-	1294293	1.0	1.0
gene:TraesCS4D03G0004000	Chr4D	1304418	1305152	-	1304785	Chr4D	1283098	1283832	+	1283465	1.0	0.998
gene:TraesCS4D03G0004100	Chr4D	1318992	1323052	+	1321022	Chr4D	1265636	1269696	-	1267666	1.0	1.0
gene:TraesCS4D03G0004300	Chr4D	1341017	1345302	-	1343159	Chr4D	1243408	1247697	+	1245552	1.0	1.0
gene:TraesCS4D03G0004400	Chr4D	1357145	1360998	-	1359071	Chr4D	1227726	1231579	+	1229652	1.0	1.0
gene:TraesCS4D03G0004500	Chr4D	1362318	1367013	-	1364665	Chr4D	1221572	1226406	+	1223989	1.0	1.0
gene:TraesCS4D03G0004600	Chr4D	1368870	1373554	-	1371212	Chr4D	1215034	1219718	+	1217376	1.0	1.0
gene:TraesCS4D03G0004700	Chr4D	1374679	1379306	-	1376992	Chr4D	1210075	1213909	+	1211992	1.0	1.0
gene:TraesCS4D03G0004800	Chr4D	1390139	1393851	+	1391995	Chr4D	1195686	1199398	-	1197542	1.0	1.0
