cs_chr	cs_start	cs_end	Julius_tgt_chr	Julius_tgt_start	Julius_tgt_end	n_anchors	mean_identity
Chr3A	764064	4551123	Chr3A	878259	3410707	24	0.9765416666666665
Chr3A	7195620	140281429	Chr3A	3771030	137967921	1343	0.9954527177959792
Chr3A	142385461	192745740	Chr3A	140083428	190079639	214	0.9979392523364485
Chr3A	195861474	263087799	Chr3A	193188653	260469166	204	0.9993774509803921
Chr3A	270762150	278734659	Chr3A	268110527	276131654	12	0.9976666666666668
Chr3A	280899243	284859700	Chr3A	278299242	282216219	6	0.9991666666666666
Chr3A	286968946	294756278	Chr3A	284348149	292104698	7	0.9998571428571428
Chr3A	302081152	305236714	Chr3A	300030592	303190700	5	0.9992000000000001
Chr3A	307569651	328087198	Chr3A	305544195	326236996	26	0.9976153846153846
Chr3A	331805909	349096037	Chr3A	333160705	350684795	29	0.9991034482758621
Chr3A	351562540	354510700	Chr3A	353090468	356020192	8	0.9995
Chr3A	357146906	360275758	Chr3A	358671963	361806312	6	0.9998333333333335
Chr3A	362401176	754027567	Chr3A	363900478	756360957	3059	0.995756783262504
Chr3A	654594267	654971269	Chr3A	649892319	650467154	5	0.9885999999999999
