gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Julius_tgt_chr	Julius_tgt_start	Julius_tgt_end	Julius_tgt_strand	Julius_tgt_midpoint	Julius_coverage	Julius_identity
gene:TraesCS2A03G0000200	Chr2A	250369	258919	+	254644	Chr2A	1752974	1761522	-	1757248	0.999	0.999
gene:TraesCS2A03G0000300	Chr2A	259362	263505	-	261433	Chr2A	1748388	1752531	+	1750459	1.0	1.0
gene:TraesCS2A03G0000600	Chr2A	272656	273599	-	273127	Chr2A	1738268	1739211	+	1738739	1.0	0.998
gene:TraesCS2A03G0000700	Chr2A	279352	289424	+	284388	Chr2A	1722372	1732510	-	1727441	0.998	0.998
gene:TraesCS2A03G0001000	Chr2A	326315	327315	-	326815	Chr2A	1684396	1685395	+	1684895	1.0	1.0
gene:TraesCS2A03G0001200	Chr2A	389113	391290	+	390201	Chr2A	1620205	1622382	-	1621293	1.0	0.999
gene:TraesCS2A03G0001400	Chr2A	396069	400877	-	398473	Chr2A	1610493	1615449	+	1612971	0.995	0.995
gene:TraesCS2A03G0001500	Chr2A	471994	473071	-	472532	Chr2A	1538322	1539381	+	1538851	1.0	0.998
gene:TraesCS2A03G0001800	Chr2A	511382	514968	+	513175	Chr2A	1497655	1501241	-	1499448	1.0	1.0
gene:TraesCS2A03G0001900	Chr2A	523708	527051	+	525379	Chr2A	1485346	1488689	-	1487017	1.0	0.999
gene:TraesCS2A03G0002000	Chr2A	527668	531424	-	529546	Chr2A	1480977	1484729	+	1482853	1.0	1.0
gene:TraesCS2A03G0002200	Chr2A	531622	534531	+	533076	Chr2A	1477870	1480779	-	1479324	1.0	0.998
gene:TraesCS2A03G0002500	Chr2A	560892	563807	-	562349	Chr2A	1379072	1381987	+	1380529	1.0	0.995
gene:TraesCS2A03G0003200	Chr2A	723635	725724	+	724679	Chr2A	1174201	1176273	-	1175237	0.985	0.978
gene:TraesCS2A03G0003300	Chr2A	728142	730497	+	729319	Chr2A	1170986	1173331	-	1172158	0.994	0.987
gene:TraesCS2A03G0003600	Chr2A	780091	780912	+	780501	Chr2A	1125938	1126703	-	1126320	0.931	0.927
gene:TraesCS2A03G0003700	Chr2A	811926	812799	+	812362	Chr2A	1086190	1087063	-	1086626	1.0	0.994
gene:TraesCS2A03G0003900	Chr2A	884928	885681	+	885304	Chr2A	1007640	1008393	-	1008016	1.0	0.99
gene:TraesCS2A03G0004500	Chr2A	1228280	1229883	-	1229081	Chr2A	746950	748553	+	747751	1.0	1.0
gene:TraesCS2A03G0005600	Chr2A	1423029	1424057	-	1423543	Chr2A	552943	553971	+	553457	1.0	1.0
gene:TraesCS2A03G0006300	Chr2A	1665722	1666219	+	1665970	Chr2A	312408	312905	-	312656	1.0	1.0
gene:TraesCS2A03G0006500	Chr2A	1751281	1752992	+	1752136	Chr2A	227503	229214	-	228358	1.0	0.998
gene:TraesCS2A03G0006600	Chr2A	1841287	1843264	+	1842275	Chr2A	137628	139605	-	138616	1.0	1.0
gene:TraesCS2A03G0006700	Chr2A	1848046	1849956	-	1849001	Chr2A	130936	132846	+	131891	1.0	1.0
gene:TraesCS2A03G0006900	Chr2A	1921768	1927033	-	1924400	Chr2A	52939	58197	+	55568	1.0	1.0
gene:TraesCS2A03G0007100	Chr2A	1935100	1941200	+	1938150	Chr2A	38617	45050	-	41833	1.0	1.0
gene:TraesCS2A03G0008000	Chr2A	2289325	2293622	+	2291473	Chr2A	2119371	2123668	+	2121519	1.0	0.999
gene:TraesCS2A03G0008200	Chr2A	2335769	2337055	-	2336412	Chr2A	2206844	2208130	-	2207487	1.0	1.0
gene:TraesCS2A03G0008500	Chr2A	2383732	2387967	+	2385849	Chr2A	2253853	2258088	+	2255970	1.0	0.999
gene:TraesCS2A03G0008600	Chr2A	2393912	2399518	+	2396715	Chr2A	2264034	2269640	+	2266837	1.0	1.0
gene:TraesCS2A03G0008800	Chr2A	2414503	2415411	-	2414957	Chr2A	2284626	2285534	-	2285080	1.0	1.0
