gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Julius_tgt_chr	Julius_tgt_start	Julius_tgt_end	Julius_tgt_strand	Julius_tgt_midpoint	Julius_coverage	Julius_identity
gene:TraesCS3B03G0000300	Chr3B	73825	74249	-	74037	Chr3B	3264568	3264992	+	3264780	1.0	0.995
gene:TraesCS3B03G0000600	Chr3B	239266	241105	+	240185	Chr3B	3121489	3123354	-	3122421	0.994	0.974
gene:TraesCS3B03G0000700	Chr3B	244156	244849	+	244502	Chr3B	3117753	3118446	-	3118099	1.0	0.989
gene:TraesCS3B03G0000800	Chr3B	246094	246695	-	246394	Chr3B	3115972	3116519	+	3116245	1.0	0.973
gene:TraesCS3B03G0000900	Chr3B	268852	271443	-	270147	Chr3B	3091454	3094003	+	3092728	0.972	0.944
gene:TraesCS3B03G0001000	Chr3B	375283	376618	+	375950	Chr3B	2965917	2967248	-	2966582	0.997	0.994
gene:TraesCS3B03G0001100	Chr3B	388009	388991	+	388500	Chr3B	2962052	2963037	-	2962544	1.0	0.991
gene:TraesCS3B03G0002800	Chr3B	855999	856555	+	856277	Chr3B	2275914	2276466	-	2276190	0.977	0.94
gene:TraesCS3B03G0003000	Chr3B	859122	864220	-	861671	Chr3B	2268362	2273312	+	2270837	0.977	0.925
gene:TraesCS3B03G0004000	Chr3B	1309880	1313738	-	1311809	Chr3B	1937984	1941914	+	1939949	0.999	0.982
gene:TraesCS3B03G0004300	Chr3B	1602640	1607005	+	1604822	Chr3B	1687446	1691816	-	1689631	0.994	0.99
gene:TraesCS3B03G0004400	Chr3B	1638604	1641896	-	1640250	Chr3B	1615532	1618827	+	1617179	0.998	0.994
gene:TraesCS3B03G0004600	Chr3B	1708407	1711540	-	1709973	Chr3B	1541329	1544462	+	1542895	1.0	0.999
gene:TraesCS3B03G0004800	Chr3B	1754066	1758349	-	1756207	Chr3B	1495037	1499249	+	1497143	0.969	0.969
gene:TraesCS3B03G0004900	Chr3B	1761903	1763502	+	1762702	Chr3B	1489842	1491441	-	1490641	1.0	1.0
gene:TraesCS3B03G0005100	Chr3B	2229591	2231019	+	2230305	Chr3B	1035841	1037269	-	1036555	1.0	0.999
gene:TraesCS3B03G0005200	Chr3B	2238754	2241107	-	2239930	Chr3B	1025753	1028106	+	1026929	1.0	1.0
gene:TraesCS3B03G0005300	Chr3B	2251630	2253405	-	2252517	Chr3B	1011687	1013462	+	1012574	1.0	0.997
gene:TraesCS3B03G0005600	Chr3B	2279997	2282921	-	2281459	Chr3B	826361	829285	-	827823	1.0	0.971
gene:TraesCS3B03G0005700	Chr3B	2296800	2299629	-	2298214	Chr3B	857907	860739	-	859323	1.0	0.969
gene:TraesCS3B03G0005800	Chr3B	2305509	2308573	-	2307041	Chr3B	870224	873336	-	871780	0.996	0.908
gene:TraesCS3B03G0006100	Chr3B	2390285	2392680	-	2391482	Chr3B	937771	940167	-	938969	1.0	0.994
gene:TraesCS3B03G0006400	Chr3B	2414282	2422889	+	2418585	Chr3B	957352	966180	+	961766	0.995	0.942
gene:TraesCS3B03G0006500	Chr3B	2431101	2434170	+	2432635	Chr3B	974384	977454	+	975919	1.0	0.997
gene:TraesCS3B03G0006600	Chr3B	2442622	2445483	+	2444052	Chr3B	985545	988402	+	986973	0.995	0.991
