cs_chr	cs_start	cs_end	Julius_tgt_chr	Julius_tgt_start	Julius_tgt_end	n_anchors	mean_identity
Chr5A	14293	638327	Chr5A	5292799	5908014	5	0.9894
Chr5A	5963836	62409843	Chr5A	6016415	64290296	486	0.9962572016460906
Chr5A	65256920	152899436	Chr5A	67551101	155341611	398	0.9992336683417086
Chr5A	156754150	160718182	Chr5A	159222394	163241781	13	0.999846153846154
Chr5A	163084098	171972235	Chr5A	165621495	174595226	23	0.9998695652173912
Chr5A	174235485	182449906	Chr5A	176868489	184875858	13	0.9993846153846154
Chr5A	184871905	187078746	Chr5A	187303097	189512558	4	1.0
Chr5A	192446609	200581324	Chr5A	194874630	203054060	16	0.998875
Chr5A	204816399	224020772	Chr5A	207354539	226602033	33	0.9987272727272728
Chr5A	226098410	238494644	Chr5A	228667632	240737504	27	0.9986296296296296
Chr5A	247866626	251028605	Chr5A	248516508	254454419	8	1.0
Chr5A	259606122	428812755	Chr5A	263910481	433700279	885	0.9978983050847458
Chr5A	431918117	713328361	Chr5A	434008031	708185705	3191	0.9948267000940144
