gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Julius_tgt_chr	Julius_tgt_start	Julius_tgt_end	Julius_tgt_strand	Julius_tgt_midpoint	Julius_coverage	Julius_identity
gene:TraesCS5D03G0000300	Chr5D	295745	301549	-	298647	Chr5D	7337864	7343664	+	7340764	0.998	0.993
gene:TraesCS5D03G0000400	Chr5D	306801	310996	+	308898	Chr5D	7328417	7332612	-	7330514	1.0	0.999
gene:TraesCS5D03G0000500	Chr5D	475881	477308	+	476594	Chr5D	7161054	7162481	-	7161767	1.0	1.0
gene:TraesCS5D03G0000600	Chr5D	504194	504526	-	504360	Chr5D	6919769	6920101	+	6919935	1.0	0.99
gene:TraesCS5D03G0000700	Chr5D	504194	504552	-	504373	Chr5D	6919743	6920101	+	6919922	1.0	0.991
gene:TraesCS5D03G0000900	Chr5D	716462	716794	-	716628	Chr5D	7133597	7133929	+	7133763	1.0	1.0
gene:TraesCS5D03G0001100	Chr5D	763156	767483	-	765319	Chr5D	6868518	6873078	+	6870798	1.0	1.0
gene:TraesCS5D03G0001300	Chr5D	929486	932500	+	930993	Chr5D	6703361	6706387	-	6704874	1.0	0.995
gene:TraesCS5D03G0001500	Chr5D	932731	938642	-	935686	Chr5D	6697219	6703130	+	6700174	1.0	1.0
gene:TraesCS5D03G0001700	Chr5D	1529495	1530538	+	1530016	Chr5D	6108109	6109152	-	6108630	1.0	1.0
gene:TraesCS5D03G0001900	Chr5D	1537103	1539147	-	1538125	Chr5D	6099500	6101544	+	6100522	1.0	0.992
gene:TraesCS5D03G0002100	Chr5D	1605131	1610309	+	1607720	Chr5D	6027844	6033022	-	6030433	1.0	1.0
gene:TraesCS5D03G0002300	Chr5D	1705168	1712206	-	1708687	Chr5D	5926437	5933475	+	5929956	1.0	1.0
gene:TraesCS5D03G0002500	Chr5D	1803394	1806327	+	1804860	Chr5D	5833127	5836060	-	5834593	1.0	1.0
gene:TraesCS5D03G0002700	Chr5D	1866423	1868501	+	1867462	Chr5D	5764648	5766639	-	5765643	1.0	0.974
gene:TraesCS5D03G0002900	Chr5D	1887729	1890428	-	1889078	Chr5D	5743777	5746476	+	5745126	1.0	1.0
gene:TraesCS5D03G0003000	Chr5D	2120086	2120451	-	2120268	Chr5D	5515318	5515683	+	5515500	1.0	1.0
gene:TraesCS5D03G0003100	Chr5D	2121153	2121944	+	2121548	Chr5D	5513825	5514616	-	5514220	1.0	1.0
gene:TraesCS5D03G0003200	Chr5D	2135387	2142134	+	2138760	Chr5D	5493634	5500381	-	5497007	1.0	1.0
gene:TraesCS5D03G0003400	Chr5D	2251213	2252857	-	2252035	Chr5D	5383431	5385075	+	5384253	1.0	1.0
gene:TraesCS5D03G0003500	Chr5D	2286363	2288714	+	2287538	Chr5D	5347844	5350197	-	5349020	1.0	1.0
gene:TraesCS5D03G0003600	Chr5D	2291637	2302490	+	2297063	Chr5D	5334035	5344921	-	5339478	1.0	0.995
gene:TraesCS5D03G0003700	Chr5D	2517220	2518242	-	2517731	Chr5D	5119425	5120447	+	5119936	1.0	0.999
