cs_chr	cs_start	cs_end	Julius_tgt_chr	Julius_tgt_start	Julius_tgt_end	n_anchors	mean_identity
Chr7A	239033	5317634	Chr7A	8312856	13628965	62	0.9819354838709677
Chr7A	10661944	13915841	Chr7A	283842	2901749	55	0.9888181818181818
Chr7A	84741428	85224139	Chr7A	72922652	73115459	6	0.9814999999999999
Chr7A	150446304	160073551	Chr7A	163709413	174046882	71	0.9954788732394364
Chr7A	166120232	177718876	Chr7A	146938365	158259762	98	0.9945510204081632
Chr7A	6151176	10596220	Chr7A	3068766	7929345	63	0.9773968253968253
Chr7A	14299338	74955432	Chr7A	13945553	72319308	659	0.9910227617602428
Chr7A	77011021	149795904	Chr7A	74435937	146210770	663	0.9954494720965308
Chr7A	160300241	164867228	Chr7A	158273614	163482622	35	0.9899142857142856
Chr7A	176812931	316231457	Chr7A	174370172	313942256	691	0.9966888567293777
Chr7A	318780197	364830171	Chr7A	316442897	362585530	84	0.998607142857143
Chr7A	367537951	393376082	Chr7A	368146974	394203784	38	0.9995526315789475
Chr7A	396497557	744483656	Chr7A	397348631	745886024	2520	0.9949281746031746
