gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Julius_tgt_chr	Julius_tgt_start	Julius_tgt_end	Julius_tgt_strand	Julius_tgt_midpoint	Julius_coverage	Julius_identity
gene:TraesCS1A03G0023500	Chr1A	5849114	5850676	+	5849895	Chr1A	9138959	9140521	-	9139740	1.0	0.999
gene:TraesCS1A03G0023600	Chr1A	5856277	5858141	+	5857209	Chr1A	9131494	9133358	-	9132426	1.0	1.0
gene:TraesCS1A03G0023800	Chr1A	6068357	6073773	-	6071065	Chr1A	8913617	8919033	+	8916325	1.0	0.999
gene:TraesCS1A03G0023900	Chr1A	6173623	6173880	+	6173751	Chr1A	8813068	8813325	-	8813196	1.0	1.0
gene:TraesCS1A03G0024000	Chr1A	6191836	6194323	-	6193079	Chr1A	8792581	8795068	+	8793824	1.0	1.0
gene:TraesCS1A03G0024300	Chr1A	6273767	6275702	+	6274734	Chr1A	8711116	8713051	-	8712083	1.0	0.996
gene:TraesCS1A03G0024500	Chr1A	6665657	6669742	+	6667699	Chr1A	8378209	8382294	-	8380251	1.0	1.0
gene:TraesCS1A03G0024700	Chr1A	6690823	6691371	+	6691097	Chr1A	8212766	8213320	-	8213043	1.0	0.944
gene:TraesCS1A03G0024800	Chr1A	6691708	6697915	-	6694811	Chr1A	8367089	8373040	+	8370064	0.946	0.936
gene:TraesCS1A03G0024900	Chr1A	6711203	6717422	-	6714312	Chr1A	8347679	8353898	+	8350788	1.0	1.0
gene:TraesCS1A03G0027300	Chr1A	7411483	7411740	-	7411611	Chr1A	8835330	8835587	-	8835458	1.0	0.91
gene:TraesCS1A03G0029000	Chr1A	7970519	7971449	-	7970984	Chr1A	7656291	7657221	+	7656756	1.0	0.995
gene:TraesCS1A03G0029300	Chr1A	8076711	8080232	-	8078471	Chr1A	7571678	7575074	+	7573376	1.0	0.997
gene:TraesCS1A03G0029500	Chr1A	8082307	8082522	-	8082414	Chr1A	7570268	7570483	+	7570375	1.0	0.99
gene:TraesCS1A03G0029600	Chr1A	8089436	8089945	-	8089690	Chr1A	7527065	7527574	+	7527319	1.0	0.994
gene:TraesCS1A03G0029700	Chr1A	8104538	8109509	+	8107023	Chr1A	7517022	7521747	-	7519384	0.963	0.938
gene:TraesCS1A03G0029900	Chr1A	8249137	8252647	-	8250892	Chr1A	7374550	7378060	+	7376305	1.0	1.0
gene:TraesCS1A03G0030000	Chr1A	8263670	8265615	-	8264642	Chr1A	7361651	7363596	+	7362623	1.0	1.0
