cs_chr	cs_start	cs_end	Julius_tgt_chr	Julius_tgt_start	Julius_tgt_end	n_anchors	mean_identity
Chr7B	34602	183070778	Chr7B	34568	180512327	1309	0.9943758594346829
Chr7B	186156096	293144785	Chr7B	183351318	290071839	408	0.997406862745098
Chr7B	295582888	301326558	Chr7B	292520882	298036430	9	0.9996666666666667
Chr7B	304028247	308002245	Chr7B	301548135	305520801	8	0.99925
Chr7B	327149605	342648507	Chr7B	325645546	341150049	33	0.9998181818181818
Chr7B	362128535	393308791	Chr7B	355585102	390971686	136	0.9986470588235294
Chr7B	396179589	410599513	Chr7B	393892336	407904268	52	0.9964999999999999
Chr7B	413179671	423778078	Chr7B	410512864	421115749	45	0.9990000000000001
Chr7B	425791676	545780843	Chr7B	423111393	543267566	780	0.9982576923076925
Chr7B	547795684	748646317	Chr7B	545246261	738459136	1417	0.9919562455892732
Chr7B	752573257	757997442	Chr7B	741332060	750132575	35	0.9529142857142858
