gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Julius_tgt_chr	Julius_tgt_start	Julius_tgt_end	Julius_tgt_strand	Julius_tgt_midpoint	Julius_coverage	Julius_identity
gene:TraesCS4A03G0000100	Chr4A	80751	81905	-	81328	Chr4A	126255	127409	-	126832	1.0	0.999
gene:TraesCS4A03G0000200	Chr4A	186233	189459	+	187846	Chr4A	231956	235182	+	233569	1.0	1.0
gene:TraesCS4A03G0000300	Chr4A	189629	191253	-	190441	Chr4A	235353	236977	-	236165	1.0	1.0
gene:TraesCS4A03G0000700	Chr4A	192479	193797	-	193138	Chr4A	238206	239524	-	238865	1.0	1.0
gene:TraesCS4A03G0000900	Chr4A	464377	473615	+	468996	Chr4A	511794	521029	+	516411	1.0	1.0
gene:TraesCS4A03G0001000	Chr4A	527393	528028	-	527710	Chr4A	576825	577460	-	577142	1.0	1.0
gene:TraesCS4A03G0001100	Chr4A	724229	730229	-	727229	Chr4A	769079	775244	-	772161	1.0	1.0
gene:TraesCS4A03G0001300	Chr4A	737645	742881	-	740263	Chr4A	782303	787539	-	784921	1.0	0.999
gene:TraesCS4A03G0001500	Chr4A	879654	880180	+	879917	Chr4A	922568	923094	+	922831	1.0	1.0
gene:TraesCS4A03G0001600	Chr4A	890746	894177	+	892461	Chr4A	933411	936834	+	935122	0.997	0.997
gene:TraesCS4A03G0001700	Chr4A	899296	900070	+	899683	Chr4A	942341	943115	+	942728	1.0	1.0
gene:TraesCS4A03G0001800	Chr4A	923950	925283	-	924616	Chr4A	966980	968313	-	967646	1.0	1.0
gene:TraesCS4A03G0001900	Chr4A	1067430	1067825	+	1067627	Chr4A	1112164	1112559	+	1112361	1.0	1.0
gene:TraesCS4A03G0002000	Chr4A	1144047	1145891	-	1144969	Chr4A	1182929	1184773	-	1183851	1.0	1.0
gene:TraesCS4A03G0002100	Chr4A	1219342	1222566	+	1220954	Chr4A	1255381	1258605	+	1256993	1.0	1.0
gene:TraesCS4A03G0002200	Chr4A	1519322	1519796	-	1519559	Chr4A	1554246	1554720	-	1554483	1.0	1.0
gene:TraesCS4A03G0002600	Chr4A	1720645	1723263	+	1721954	Chr4A	1747880	1750498	+	1749189	1.0	1.0
gene:TraesCS4A03G0002900	Chr4A	1872733	1874596	-	1873664	Chr4A	1891873	1893724	-	1892798	1.0	1.0
gene:TraesCS4A03G0003000	Chr4A	1876368	1884930	-	1880649	Chr4A	1895495	1904057	-	1899776	1.0	0.999
gene:TraesCS4A03G0003100	Chr4A	1887453	1896045	-	1891749	Chr4A	1906580	1915281	-	1910930	1.0	0.995
gene:TraesCS4A03G0003200	Chr4A	1904683	1907590	-	1906136	Chr4A	1924110	1927017	-	1925563	1.0	1.0
gene:TraesCS4A03G0003300	Chr4A	1908725	1910020	-	1909372	Chr4A	1928152	1929447	-	1928799	1.0	1.0
gene:TraesCS4A03G0003600	Chr4A	2034845	2039676	-	2037260	Chr4A	2053926	2058757	-	2056341	1.0	1.0
gene:TraesCS4A03G0003800	Chr4A	2144567	2151745	-	2148156	Chr4A	2163560	2170631	-	2167095	1.0	1.0
gene:TraesCS4A03G0004000	Chr4A	2396423	2406197	+	2401310	Chr4A	2421528	2431047	+	2426287	1.0	1.0
gene:TraesCS4A03G0004100	Chr4A	2407157	2412110	-	2409633	Chr4A	2432007	2436960	-	2434483	1.0	0.999
gene:TraesCS4A03G0004200	Chr4A	2539821	2543289	-	2541555	Chr4A	2574494	2577963	-	2576228	1.0	0.999
gene:TraesCS4A03G0004300	Chr4A	2549120	2550253	-	2549686	Chr4A	2583777	2584910	-	2584343	1.0	1.0
gene:TraesCS4A03G0004700	Chr4A	2613805	2615102	+	2614453	Chr4A	2648766	2650063	+	2649414	1.0	1.0
gene:TraesCS4A03G0004800	Chr4A	2630028	2631685	-	2630856	Chr4A	2664846	2666503	-	2665674	1.0	1.0
gene:TraesCS4A03G0004900	Chr4A	2636507	2637932	-	2637219	Chr4A	2671220	2672645	-	2671932	1.0	1.0
gene:TraesCS4A03G0005100	Chr4A	2731327	2733151	+	2732239	Chr4A	2772584	2774408	+	2773496	1.0	1.0
gene:TraesCS4A03G0005200	Chr4A	2767289	2768680	+	2767984	Chr4A	2806971	2808362	+	2807666	1.0	1.0
gene:TraesCS4A03G0005400	Chr4A	2778918	2779295	-	2779106	Chr4A	2818586	2818963	-	2818774	1.0	1.0
gene:TraesCS4A03G0005500	Chr4A	2783068	2789950	-	2786509	Chr4A	2821764	2828559	-	2825161	0.979	0.979
gene:TraesCS4A03G0005700	Chr4A	2896900	2897945	-	2897422	Chr4A	2934929	2935974	-	2935451	1.0	1.0
gene:TraesCS4A03G0005800	Chr4A	2930585	2932852	+	2931718	Chr4A	2968613	2970880	+	2969746	1.0	1.0
gene:TraesCS4A03G0006100	Chr4A	2934653	2937212	+	2935932	Chr4A	2972681	2975240	+	2973960	1.0	1.0
gene:TraesCS4A03G0006200	Chr4A	2936960	2940182	-	2938571	Chr4A	2974988	2978210	-	2976599	1.0	0.999
gene:TraesCS4A03G0006300	Chr4A	2942998	2949575	-	2946286	Chr4A	2981157	2987761	-	2984459	1.0	1.0
gene:TraesCS4A03G0006700	Chr4A	2964010	2964348	+	2964179	Chr4A	3002281	3002619	+	3002450	1.0	1.0
gene:TraesCS4A03G0006900	Chr4A	2973914	2984600	-	2979257	Chr4A	3013576	3024258	-	3018917	1.0	0.998
