gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Julius_tgt_chr	Julius_tgt_start	Julius_tgt_end	Julius_tgt_strand	Julius_tgt_midpoint	Julius_coverage	Julius_identity
gene:TraesCS1D03G0000100	Chr1D	20638	21773	+	21205	Chr1D	73093	74228	+	73660	1.0	1.0
gene:TraesCS1D03G0000300	Chr1D	29025	30863	+	29944	Chr1D	81480	83318	+	82399	1.0	1.0
gene:TraesCS1D03G0000400	Chr1D	31231	35151	-	33191	Chr1D	83686	87606	-	85646	1.0	1.0
gene:TraesCS1D03G0000500	Chr1D	35595	39094	-	37344	Chr1D	88050	91553	-	89801	1.0	0.997
gene:TraesCS1D03G0000600	Chr1D	42073	49239	+	45656	Chr1D	94532	101604	+	98068	1.0	1.0
gene:TraesCS1D03G0000800	Chr1D	55880	57669	+	56774	Chr1D	108309	110098	+	109203	1.0	1.0
gene:TraesCS1D03G0001000	Chr1D	62405	66535	+	64470	Chr1D	114874	118955	+	116914	0.983	0.962
gene:TraesCS1D03G0001100	Chr1D	66949	69971	-	68460	Chr1D	119369	122391	-	120880	1.0	1.0
gene:TraesCS1D03G0001300	Chr1D	73080	76040	-	74560	Chr1D	125501	128460	-	126980	1.0	1.0
gene:TraesCS1D03G0001400	Chr1D	78627	81289	-	79958	Chr1D	131047	133709	-	132378	1.0	0.999
gene:TraesCS1D03G0001500	Chr1D	92853	98829	-	95841	Chr1D	145270	151246	-	148258	1.0	1.0
gene:TraesCS1D03G0001600	Chr1D	117511	120788	+	119149	Chr1D	170034	173311	+	171672	1.0	1.0
gene:TraesCS1D03G0001800	Chr1D	171475	183229	-	177352	Chr1D	224242	236050	-	230146	1.0	1.0
gene:TraesCS1D03G0002300	Chr1D	387049	399494	-	393271	Chr1D	441354	453812	-	447583	1.0	1.0
gene:TraesCS1D03G0002400	Chr1D	409650	411707	-	410678	Chr1D	463967	466024	-	464995	1.0	1.0
gene:TraesCS1D03G0002600	Chr1D	418798	422767	-	420782	Chr1D	473115	477084	-	475099	1.0	1.0
gene:TraesCS1D03G0002800	Chr1D	432621	439371	+	435996	Chr1D	485296	492176	+	488736	1.0	0.988
gene:TraesCS1D03G0002900	Chr1D	444052	448470	-	446261	Chr1D	496558	501047	-	498802	0.999	0.974
gene:TraesCS1D03G0003200	Chr1D	465036	466154	-	465595	Chr1D	551011	552129	-	551570	1.0	0.997
gene:TraesCS1D03G0003300	Chr1D	588197	590502	-	589349	Chr1D	732959	735202	-	734080	0.993	0.978
gene:TraesCS1D03G0003500	Chr1D	670994	672152	+	671573	Chr1D	804618	805778	+	805198	1.0	0.993
gene:TraesCS1D03G0004700	Chr1D	885654	889258	-	887456	Chr1D	1019969	1023563	-	1021766	0.996	0.986
gene:TraesCS1D03G0008200	Chr1D	2648853	2656401	+	2652627	Chr1D	1919628	1927176	+	1923402	1.0	0.999
gene:TraesCS1D03G0008400	Chr1D	2658914	2664872	-	2661893	Chr1D	1929689	1935627	-	1932658	0.991	0.991
gene:TraesCS1D03G0008500	Chr1D	2679004	2685472	+	2682238	Chr1D	1948953	1955420	+	1952186	1.0	1.0
gene:TraesCS1D03G0008600	Chr1D	2718545	2721537	+	2720041	Chr1D	1988485	1991477	+	1989981	1.0	1.0
gene:TraesCS1D03G0008800	Chr1D	2722891	2723820	-	2723355	Chr1D	1992831	1993751	-	1993291	0.985	0.985
gene:TraesCS1D03G0009100	Chr1D	2796340	2799441	-	2797890	Chr1D	2037610	2040711	-	2039160	1.0	1.0
gene:TraesCS1D03G0009200	Chr1D	2803813	2805476	+	2804644	Chr1D	2044713	2046376	+	2045544	1.0	1.0
gene:TraesCS1D03G0009300	Chr1D	2808366	2809991	-	2809178	Chr1D	2049266	2050819	-	2050042	0.953	0.953
gene:TraesCS1D03G0009400	Chr1D	2818068	2821589	-	2819828	Chr1D	2056921	2060442	-	2058681	1.0	0.99
gene:TraesCS1D03G0009500	Chr1D	2850565	2852033	-	2851299	Chr1D	2150852	2152320	-	2151586	1.0	0.997
gene:TraesCS1D03G0009900	Chr1D	2927907	2928881	+	2928394	Chr1D	2208956	2209939	+	2209447	1.0	0.987
gene:TraesCS1D03G0010000	Chr1D	2945825	2946808	+	2946316	Chr1D	2226622	2227605	+	2227113	1.0	0.994
gene:TraesCS1D03G0010400	Chr1D	3008174	3009061	+	3008617	Chr1D	2298072	2298968	+	2298520	1.0	0.988
gene:TraesCS1D03G0010600	Chr1D	3035516	3036070	+	3035793	Chr1D	2321500	2322054	+	2321777	1.0	0.998
gene:TraesCS1D03G0010900	Chr1D	3049234	3052252	+	3050743	Chr1D	2335603	2338840	+	2337221	1.0	0.992
gene:TraesCS1D03G0011000	Chr1D	3051473	3051794	-	3051633	Chr1D	2338059	2338380	-	2338219	1.0	0.995
gene:TraesCS1D03G0011200	Chr1D	3058505	3059110	+	3058807	Chr1D	2344980	2345585	+	2345282	1.0	0.998
gene:TraesCS1D03G0012000	Chr1D	3156660	3157255	+	3156957	Chr1D	2519521	2520133	+	2519827	0.996	0.944
gene:TraesCS1D03G0012700	Chr1D	3317114	3318407	+	3317760	Chr1D	4079205	4080486	-	4079845	0.99	0.947
gene:TraesCS1D03G0013000	Chr1D	3377746	3382876	+	3380311	Chr1D	2616675	2621805	+	2619240	1.0	0.993
gene:TraesCS1D03G0013100	Chr1D	3429890	3431151	+	3430520	Chr1D	2658882	2660163	+	2659522	1.0	0.977
gene:TraesCS1D03G0014100	Chr1D	3654017	3654448	+	3654232	Chr1D	2890466	2890897	+	2890681	1.0	0.965
gene:TraesCS1D03G0014200	Chr1D	3667788	3668400	+	3668094	Chr1D	2904004	2904616	+	2904310	1.0	0.996
gene:TraesCS1D03G0014300	Chr1D	3673182	3675464	-	3674323	Chr1D	2909645	2911923	-	2910784	1.0	0.995
gene:TraesCS1D03G0014700	Chr1D	3726798	3728037	+	3727417	Chr1D	2964259	2965498	+	2964878	1.0	1.0
gene:TraesCS1D03G0014900	Chr1D	3787854	3789079	-	3788466	Chr1D	3024050	3025275	-	3024662	1.0	1.0
gene:TraesCS1D03G0015100	Chr1D	3821069	3822598	+	3821833	Chr1D	3056663	3058192	+	3057427	1.0	1.0
gene:TraesCS1D03G0015200	Chr1D	3916114	3917013	-	3916563	Chr1D	3155762	3156661	-	3156211	1.0	1.0
gene:TraesCS1D03G0015300	Chr1D	3943302	3944607	-	3943954	Chr1D	3182555	3183860	-	3183207	1.0	1.0
gene:TraesCS1D03G0015500	Chr1D	4008439	4008696	+	4008567	Chr1D	3246126	3246383	+	3246254	1.0	1.0
gene:TraesCS1D03G0015600	Chr1D	4031888	4032790	-	4032339	Chr1D	3274904	3275806	-	3275355	1.0	1.0
gene:TraesCS1D03G0015900	Chr1D	4161332	4165555	+	4163443	Chr1D	3416240	3420463	+	3418351	1.0	1.0
gene:TraesCS1D03G0016000	Chr1D	4168175	4172160	+	4170167	Chr1D	3423082	3427067	+	3425074	1.0	1.0
gene:TraesCS1D03G0016100	Chr1D	4172892	4176565	+	4174728	Chr1D	3427799	3431472	+	3429635	1.0	1.0
gene:TraesCS1D03G0016200	Chr1D	4177197	4182517	-	4179857	Chr1D	3432104	3437424	-	3434764	1.0	0.99
gene:TraesCS1D03G0016600	Chr1D	4286412	4287695	-	4287053	Chr1D	3541623	3542906	-	3542264	1.0	1.0
gene:TraesCS1D03G0016700	Chr1D	4386351	4395126	-	4390738	Chr1D	3623209	3631807	-	3627508	1.0	1.0
gene:TraesCS1D03G0016800	Chr1D	4395798	4401534	+	4398666	Chr1D	3632479	3638212	+	3635345	1.0	1.0
gene:TraesCS1D03G0017100	Chr1D	4441316	4442197	-	4441756	Chr1D	3680153	3681034	-	3680593	1.0	1.0
gene:TraesCS1D03G0017400	Chr1D	4485187	4486277	-	4485732	Chr1D	3724305	3725395	-	3724850	1.0	1.0
gene:TraesCS1D03G0017500	Chr1D	4511639	4512641	-	4512140	Chr1D	3751089	3752091	-	3751590	1.0	0.998
gene:TraesCS1D03G0017600	Chr1D	4546440	4547558	+	4546999	Chr1D	3795898	3797019	+	3796458	1.0	0.997
gene:TraesCS1D03G0018500	Chr1D	5055567	5056764	-	5056165	Chr1D	4227511	4228708	-	4228109	1.0	1.0
gene:TraesCS1D03G0018700	Chr1D	5085791	5087899	+	5086845	Chr1D	4256053	4258161	+	4257107	1.0	1.0
