gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Julius_tgt_chr	Julius_tgt_start	Julius_tgt_end	Julius_tgt_strand	Julius_tgt_midpoint	Julius_coverage	Julius_identity
gene:TraesCS2B03G0000100	Chr2B	28743	34135	+	31439	Chr2B	8320660	8325989	-	8323324	1.0	0.985
gene:TraesCS2B03G0000200	Chr2B	39467	43757	-	41612	Chr2B	8311278	8315451	+	8313364	0.958	0.932
gene:TraesCS2B03G0000300	Chr2B	99450	99932	-	99691	Chr2B	8261197	8261679	+	8261438	1.0	0.977
gene:TraesCS2B03G0000700	Chr2B	125470	127186	+	126328	Chr2B	8163048	8164759	-	8163903	1.0	0.992
gene:TraesCS2B03G0000800	Chr2B	129516	134301	-	131908	Chr2B	8155072	8159802	+	8157437	0.997	0.989
gene:TraesCS2B03G0000900	Chr2B	248523	249650	-	249086	Chr2B	8047085	8048204	+	8047644	1.0	0.997
gene:TraesCS2B03G0001000	Chr2B	255128	258501	+	256814	Chr2B	8038188	8041573	-	8039880	0.998	0.977
gene:TraesCS2B03G0001900	Chr2B	359414	360259	+	359836	Chr2B	8031680	8032525	-	8032102	0.995	0.915
gene:TraesCS2B03G0002400	Chr2B	401647	403609	+	402628	Chr2B	7959027	7960262	-	7959644	0.922	0.91
gene:TraesCS2B03G0002500	Chr2B	404319	408371	-	406345	Chr2B	7954668	7958259	+	7956463	0.986	0.916
gene:TraesCS2B03G0002600	Chr2B	410883	413197	+	412040	Chr2B	7915142	7917147	-	7916144	1.0	0.971
gene:TraesCS2B03G0005700	Chr2B	963404	964372	+	963888	Chr2B	7818277	7819245	-	7818761	1.0	0.998
gene:TraesCS2B03G0005900	Chr2B	993279	993881	+	993580	Chr2B	7802880	7803434	-	7803157	0.92	0.903
gene:TraesCS2B03G0006000	Chr2B	1002722	1009665	+	1006193	Chr2B	7786286	7793227	-	7789756	1.0	0.996
gene:TraesCS2B03G0006500	Chr2B	1091608	1092561	-	1092084	Chr2B	7728259	7729212	+	7728735	1.0	1.0
gene:TraesCS2B03G0006600	Chr2B	1094148	1094755	-	1094451	Chr2B	7726059	7726666	+	7726362	1.0	1.0
gene:TraesCS2B03G0006800	Chr2B	1102968	1104198	+	1103583	Chr2B	7716418	7717686	-	7717052	0.998	0.945
gene:TraesCS2B03G0006900	Chr2B	1108051	1109094	-	1108572	Chr2B	7706948	7707986	+	7707467	0.995	0.975
gene:TraesCS2B03G0008300	Chr2B	1951546	1953088	-	1952317	Chr2B	7498065	7499608	+	7498836	0.997	0.979
gene:TraesCS2B03G0008500	Chr2B	1958192	1967818	-	1963005	Chr2B	7483420	7492973	+	7488196	1.0	0.999
gene:TraesCS2B03G0009200	Chr2B	2344071	2344364	+	2344217	Chr2B	7200176	7200469	-	7200322	1.0	1.0
gene:TraesCS2B03G0009700	Chr2B	2520260	2520661	-	2520460	Chr2B	7024384	7024786	+	7024585	1.0	1.0
gene:TraesCS2B03G0009900	Chr2B	2672857	2674541	-	2673699	Chr2B	6836832	6838513	+	6837672	0.998	0.994
gene:TraesCS2B03G0010000	Chr2B	2678638	2681094	-	2679866	Chr2B	6830277	6832733	+	6831505	1.0	0.998
gene:TraesCS2B03G0010300	Chr2B	2698016	2703512	+	2700764	Chr2B	6807482	6812959	-	6810220	0.999	0.996
gene:TraesCS2B03G0010400	Chr2B	2717986	2718723	-	2718354	Chr2B	6790721	6791458	+	6791089	1.0	0.991
gene:TraesCS2B03G0010900	Chr2B	2892074	2894736	+	2893405	Chr2B	6555218	6558228	-	6556723	1.0	0.983
gene:TraesCS2B03G0011000	Chr2B	2916973	2932515	-	2924744	Chr2B	6539571	6550220	+	6544895	0.976	0.968
gene:TraesCS2B03G0011100	Chr2B	2935121	2936823	+	2935972	Chr2B	5096564	5098242	+	5097403	0.977	0.906
gene:TraesCS2B03G0011300	Chr2B	2962930	2963370	+	2963150	Chr2B	6505248	6505688	-	6505468	1.0	1.0
gene:TraesCS2B03G0011700	Chr2B	3194437	3195324	-	3194880	Chr2B	5076461	5077341	+	5076901	0.99	0.973
gene:TraesCS2B03G0014300	Chr2B	4031007	4035278	-	4033142	Chr2B	5414387	5418657	+	5416522	0.999	0.991
gene:TraesCS2B03G0014500	Chr2B	4057416	4065064	-	4061240	Chr2B	5580278	5588058	+	5584168	1.0	0.962
gene:TraesCS2B03G0015300	Chr2B	4921039	4922226	-	4921632	Chr2B	5042837	5044007	+	5043422	0.985	0.981
gene:TraesCS2B03G0015400	Chr2B	4921039	4925322	-	4923180	Chr2B	5039741	5044007	+	5041874	0.996	0.992
gene:TraesCS2B03G0016000	Chr2B	5016726	5020169	+	5018447	Chr2B	4940406	4943849	-	4942127	1.0	0.994
gene:TraesCS2B03G0016200	Chr2B	5031749	5033515	-	5032632	Chr2B	4919356	4921125	+	4920240	1.0	0.975
gene:TraesCS2B03G0016300	Chr2B	5034478	5034879	-	5034678	Chr2B	4916455	4916856	+	4916655	1.0	0.972
gene:TraesCS2B03G0016400	Chr2B	5035649	5037309	-	5036479	Chr2B	4909931	4911593	+	4910762	1.0	0.98
gene:TraesCS2B03G0016700	Chr2B	5058158	5060304	+	5059231	Chr2B	4858915	4861061	-	4859988	1.0	0.997
gene:TraesCS2B03G0016900	Chr2B	5071624	5076306	+	5073965	Chr2B	4842823	4847501	-	4845162	1.0	0.997
gene:TraesCS2B03G0017500	Chr2B	5236031	5237507	+	5236769	Chr2B	4834949	4836412	-	4835680	0.991	0.98
gene:TraesCS2B03G0017600	Chr2B	5295192	5296900	-	5296046	Chr2B	4771106	4772814	+	4771960	1.0	0.993
gene:TraesCS2B03G0017700	Chr2B	5393429	5393683	+	5393556	Chr2B	4671813	4672067	-	4671940	1.0	0.992
gene:TraesCS2B03G0018100	Chr2B	5448721	5450259	+	5449490	Chr2B	4616168	4617706	-	4616937	1.0	0.996
gene:TraesCS2B03G0018300	Chr2B	5465459	5467015	-	5466237	Chr2B	4571643	4573185	+	4572414	0.991	0.971
