gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Julius_tgt_chr	Julius_tgt_start	Julius_tgt_end	Julius_tgt_strand	Julius_tgt_midpoint	Julius_coverage	Julius_identity	segment
gene:TraesCS3A03G0002800	Chr3A	762529	765599	+	764064	Chr3A	876527	879992	+	878259	1.0	0.985	collinear
gene:TraesCS3A03G0003000	Chr3A	954676	957962	+	956319	Chr3A	993638	996921	+	995279	0.998	0.996	collinear
gene:TraesCS3A03G0003600	Chr3A	1030844	1033134	+	1031989	Chr3A	1021176	1023143	+	1022159	1.0	0.988	collinear
gene:TraesCS3A03G0004000	Chr3A	1075288	1077959	+	1076623	Chr3A	1059779	1062435	+	1061107	0.967	0.929	collinear
gene:TraesCS3A03G0004800	Chr3A	1608981	1609485	+	1609233	Chr3A	1674934	1675441	+	1675187	1.0	0.984	collinear
gene:TraesCS3A03G0004900	Chr3A	1614046	1614462	+	1614254	Chr3A	1681275	1681691	+	1681483	1.0	1.0	collinear
gene:TraesCS3A03G0005000	Chr3A	1668456	1668815	+	1668635	Chr3A	1726479	1726835	+	1726657	0.991	0.991	collinear
gene:TraesCS3A03G0005300	Chr3A	1686660	1687091	+	1686875	Chr3A	1743187	1743613	+	1743400	0.981	0.96	collinear
gene:TraesCS3A03G0005500	Chr3A	1712162	1713083	+	1712622	Chr3A	1753849	1754770	+	1754309	1.0	0.991	collinear
gene:TraesCS3A03G0006000	Chr3A	1805228	1805714	-	1805471	Chr3A	1900112	1900598	-	1900355	1.0	0.993	collinear
gene:TraesCS3A03G0006800	Chr3A	1872412	1874269	+	1873340	Chr3A	2037085	2038942	+	2038013	1.0	0.99	collinear
gene:TraesCS3A03G0007300	Chr3A	1881511	1881988	+	1881749	Chr3A	2047484	2047961	+	2047722	1.0	0.995	collinear
gene:TraesCS3A03G0007400	Chr3A	1888827	1889429	+	1889128	Chr3A	2054212	2054814	+	2054513	1.0	0.993	collinear
gene:TraesCS3A03G0007800	Chr3A	1975660	1976366	+	1976013	Chr3A	2231476	2232158	+	2231817	0.966	0.927	collinear
gene:TraesCS3A03G0007900	Chr3A	1986188	1988425	-	1987306	Chr3A	2249535	2251778	-	2250656	1.0	0.954	collinear
gene:TraesCS3A03G0008000	Chr3A	1993217	1993959	+	1993588	Chr3A	2265552	2266294	+	2265923	0.998	0.989	collinear
gene:TraesCS3A03G0008400	Chr3A	2008922	2012376	+	2010649	Chr3A	2272158	2275614	+	2273886	1.0	0.994	collinear
gene:TraesCS3A03G0008700	Chr3A	2225872	2226467	+	2226169	Chr3A	3410418	3410997	+	3410707	0.997	0.964	collinear
gene:TraesCS3A03G0009000	Chr3A	2524157	2524527	+	2524342	Chr3A	3173777	3174147	+	3173962	1.0	0.963	collinear
gene:TraesCS3A03G0009600	Chr3A	3003041	3003623	+	3003332	Chr3A	2303310	2303892	+	2303601	1.0	0.973	collinear
gene:TraesCS3A03G0010200	Chr3A	3503928	3504623	+	3504275	Chr3A	2931258	2931951	+	2931604	0.996	0.975	collinear
gene:TraesCS3A03G0010300	Chr3A	3516427	3516797	+	3516612	Chr3A	3365951	3366322	+	3366136	1.0	0.948	collinear
gene:TraesCS3A03G0010400	Chr3A	3528309	3528679	+	3528494	Chr3A	2602855	2603225	+	2603040	1.0	0.979	collinear
gene:TraesCS3A03G0010900	Chr3A	4550825	4551422	+	4551123	Chr3A	3244181	3244779	+	3244480	1.0	0.976	collinear
gene:TraesCS3A03G0014100	Chr3A	7195252	7195989	-	7195620	Chr3A	3770662	3771399	-	3771030	1.0	0.982	collinear
gene:TraesCS3A03G0014200	Chr3A	7201106	7201878	-	7201492	Chr3A	3780250	3781030	-	3780640	1.0	0.98	collinear
