cs_chr	cs_start	cs_end	Julius_tgt_chr	Julius_tgt_start	Julius_tgt_end	n_anchors	mean_identity
Chr3D	163980	116955327	Chr3D	262365	121243501	1299	0.9947244033872208
Chr3D	119094314	145655212	Chr3D	123393201	149864295	159	0.9993962264150944
Chr3D	147725835	194192900	Chr3D	151957789	198469292	259	0.999054054054054
Chr3D	197544325	200969144	Chr3D	201804170	205230087	5	0.9998
Chr3D	203187169	203224239	Chr3D	207635059	207671301	4	1.0
Chr3D	207531742	214535149	Chr3D	211940057	218899705	11	0.999
Chr3D	216957444	220088873	Chr3D	221315427	224405835	6	1.0
Chr3D	226016244	232933791	Chr3D	230501696	237430000	13	0.9924615384615384
Chr3D	235055553	258632836	Chr3D	239547258	263662558	42	0.9992380952380954
Chr3D	260879965	492833467	Chr3D	265908848	498041399	1657	0.998343391671696
Chr3D	495347019	619489515	Chr3D	500616266	621072363	1579	0.9975250158328056
