cs_chr	cs_start	cs_end	Julius_tgt_chr	Julius_tgt_start	Julius_tgt_end	n_anchors	mean_identity
Chr6B	132889583	137046898	Chr6B	144274528	149509373	31	0.994
Chr6B	144437167	150342463	Chr6B	129734551	136331941	36	0.9912222222222221
Chr6B	185573418	206184939	Chr6B	212649727	233959217	109	0.9946146788990825
Chr6B	213604612	233183930	Chr6B	184897928	205052131	76	0.9932368421052632
Chr6B	321795604	324021524	Chr6B	311407547	313661080	5	0.985
Chr6B	352634401	363784669	Chr6B	399229678	412457767	27	0.9961851851851852
Chr6B	367054723	380913451	Chr6B	381601706	395896278	21	0.9988571428571428
Chr6B	385507140	387071487	Chr6B	375531876	377176974	3	0.9976666666666666
Chr6B	393616244	405619773	Chr6B	356761444	368873352	33	0.9971818181818183
Chr6B	141140	109698670	Chr6B	237068	106498682	974	0.9911735112936345
Chr6B	112200748	114854793	Chr6B	109036452	111757600	7	0.9995714285714286
Chr6B	117445277	132536595	Chr6B	114232187	129279931	119	0.9916302521008401
Chr6B	137477231	143245300	Chr6B	137504671	143835381	48	0.9903958333333334
Chr6B	150857498	184521061	Chr6B	149993973	184126185	209	0.9905645933014353
Chr6B	206488331	213309049	Chr6B	205350724	212346863	44	0.9969545454545454
Chr6B	233356422	246413908	Chr6B	234402361	247427739	80	0.9995499999999999
Chr6B	249274084	256302862	Chr6B	250396501	256852282	22	0.9910454545454546
Chr6B	261263057	268713242	Chr6B	257730423	265234630	31	0.9974516129032259
Chr6B	271066163	271204143	Chr6B	267614505	267758627	6	0.9973333333333333
Chr6B	273275668	273714013	Chr6B	269846103	270282100	3	0.999
Chr6B	275888096	289129738	Chr6B	272506477	286183681	45	0.9981777777777777
Chr6B	292829101	299893030	Chr6B	290235153	296778281	22	0.9953636363636363
Chr6B	301908638	308701890	Chr6B	299344618	306239879	26	0.9964615384615384
Chr6B	310986731	321422238	Chr6B	308483735	321122168	20	0.9980499999999999
Chr6B	325667537	327439454	Chr6B	323195025	325001340	9	0.9976666666666668
Chr6B	348550830	349949438	Chr6B	353034326	354362143	5	0.9960000000000001
Chr6B	381551074	384839204	Chr6B	377864006	381073268	5	0.9974000000000001
Chr6B	410641112	432650099	Chr6B	413723994	435668911	56	0.9955178571428572
Chr6B	438515907	449326149	Chr6B	436513692	447455791	50	0.99812
Chr6B	452819490	486984757	Chr6B	450978704	488606607	174	0.9952011494252871
Chr6B	503691318	510025443	Chr6B	502885272	509266355	34	0.9996764705882354
Chr6B	524252260	629148387	Chr6B	526272482	629542638	640	0.9965781249999999
Chr6B	631157333	635284956	Chr6B	631443969	635497259	35	0.9922571428571431
Chr6B	638657051	730892061	Chr6B	638021951	727282814	855	0.9881345029239766
Chr6B	487287532	502558148	Chr6B	510397036	526036856	68	0.9929705882352939
Chr6B	510558450	523759415	Chr6B	489100767	502359479	86	0.9972325581395349
