gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Julius_tgt_chr	Julius_tgt_start	Julius_tgt_end	Julius_tgt_strand	Julius_tgt_midpoint	Julius_coverage	Julius_identity
gene:TraesCS7D03G0000400	Chr7D	207994	212443	-	210218	Chr7D	1775762	1780211	+	1777986	1.0	1.0
gene:TraesCS7D03G0000500	Chr7D	242065	245782	+	243923	Chr7D	1740759	1744476	-	1742617	1.0	1.0
gene:TraesCS7D03G0000900	Chr7D	337014	337852	+	337433	Chr7D	1649333	1650171	-	1649752	1.0	1.0
gene:TraesCS7D03G0001000	Chr7D	365927	369790	-	367858	Chr7D	1618606	1622470	+	1620538	1.0	0.996
gene:TraesCS7D03G0001100	Chr7D	371892	373182	-	372537	Chr7D	1615214	1616504	+	1615859	1.0	1.0
gene:TraesCS7D03G0001400	Chr7D	478186	482086	-	480136	Chr7D	1506220	1510120	+	1508170	1.0	1.0
gene:TraesCS7D03G0001900	Chr7D	706058	709008	-	707533	Chr7D	1276122	1279073	+	1277597	1.0	0.989
gene:TraesCS7D03G0002100	Chr7D	995282	1001481	-	998381	Chr7D	983078	989279	+	986178	1.0	1.0
gene:TraesCS7D03G0002300	Chr7D	1028545	1032002	-	1030273	Chr7D	952618	956075	+	954346	1.0	1.0
gene:TraesCS7D03G0002800	Chr7D	1101311	1104311	-	1102811	Chr7D	880028	883004	+	881516	0.992	0.99
gene:TraesCS7D03G0002900	Chr7D	1138064	1151035	-	1144549	Chr7D	833305	846277	+	839791	1.0	1.0
gene:TraesCS7D03G0003200	Chr7D	1197663	1199279	-	1198471	Chr7D	785333	786949	+	786141	1.0	1.0
gene:TraesCS7D03G0003900	Chr7D	1268276	1269780	-	1269028	Chr7D	714657	716161	+	715409	1.0	1.0
gene:TraesCS7D03G0004000	Chr7D	1270782	1275797	-	1273289	Chr7D	708596	713655	+	711125	1.0	1.0
gene:TraesCS7D03G0004300	Chr7D	1318295	1332709	+	1325502	Chr7D	651639	666082	-	658860	1.0	0.933
gene:TraesCS7D03G0004400	Chr7D	1335304	1336512	+	1335908	Chr7D	647836	649044	-	648440	1.0	1.0
gene:TraesCS7D03G0004500	Chr7D	1367440	1372889	+	1370164	Chr7D	611514	617004	-	614259	1.0	1.0
gene:TraesCS7D03G0004600	Chr7D	1423297	1428624	-	1425960	Chr7D	556010	561233	+	558621	1.0	1.0
gene:TraesCS7D03G0004700	Chr7D	1568149	1569787	+	1568968	Chr7D	414928	416566	-	415747	1.0	0.999
gene:TraesCS7D03G0005200	Chr7D	1622734	1623927	-	1623330	Chr7D	360774	361967	+	361370	1.0	1.0
gene:TraesCS7D03G0005300	Chr7D	1630150	1631499	-	1630824	Chr7D	353202	354551	+	353876	1.0	1.0
gene:TraesCS7D03G0005400	Chr7D	1638146	1638877	-	1638511	Chr7D	345824	346555	+	346189	1.0	1.0
