cs_chr	cs_start	cs_end	Julius_tgt_chr	Julius_tgt_start	Julius_tgt_end	n_anchors	mean_identity
Chr4D	410644	141272747	Chr4D	106177	141403888	1405	0.9985096085409252
Chr4D	143939177	159173700	Chr4D	144064767	159338053	17	0.995529411764706
Chr4D	163710731	183649096	Chr4D	163849658	183620476	27	0.998851851851852
Chr4D	188969484	192971731	Chr4D	190303685	194321397	6	0.9996666666666666
Chr4D	195239705	198785582	Chr4D	196591104	200135157	7	0.9997142857142858
Chr4D	201663396	212424003	Chr4D	203358810	214996158	26	0.9992692307692308
Chr4D	214566503	228344802	Chr4D	217154908	230968714	23	0.9964782608695651
Chr4D	231096326	238850566	Chr4D	233197337	240926180	10	0.9994
Chr4D	241150325	249170093	Chr4D	243220227	251240274	18	0.9993333333333332
Chr4D	251744642	256746015	Chr4D	253811967	258831652	7	0.9908571428571428
Chr4D	259082246	261473317	Chr4D	261150822	263542321	6	1.0
Chr4D	264155329	268258812	Chr4D	266219937	270301941	7	0.998142857142857
Chr4D	270831155	284417863	Chr4D	272884519	286499345	19	0.9965263157894736
Chr4D	286726699	329466878	Chr4D	288784903	331607173	220	0.998518181818182
Chr4D	331779306	375686787	Chr4D	333917665	377868676	303	0.9981947194719472
Chr4D	377775997	410310201	Chr4D	379973187	412586361	235	0.9972808510638298
Chr4D	412602740	505667658	Chr4D	414918350	509182385	1086	0.9984069981583794
