gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Julius_tgt_chr	Julius_tgt_start	Julius_tgt_end	Julius_tgt_strand	Julius_tgt_midpoint	Julius_coverage	Julius_identity	segment
gene:TraesCS5B03G0002900	Chr5B	2118597	2118959	-	2118778	Chr5B	923685	924047	-	923866	1.0	1.0	rearrangement:Chr5B_block1
gene:TraesCS5B03G0003000	Chr5B	2119731	2120270	+	2120000	Chr5B	924819	925358	+	925088	1.0	1.0	rearrangement:Chr5B_block1
gene:TraesCS5B03G0003200	Chr5B	2256442	2262369	+	2259405	Chr5B	1065507	1071434	+	1068470	1.0	1.0	rearrangement:Chr5B_block1
gene:TraesCS5B03G0003500	Chr5B	2311597	2312335	+	2311966	Chr5B	1120130	1120868	+	1120499	1.0	1.0	rearrangement:Chr5B_block1
gene:TraesCS5B03G0003700	Chr5B	2316821	2328979	+	2322900	Chr5B	1125354	1137326	+	1131340	1.0	1.0	rearrangement:Chr5B_block1
gene:TraesCS5B03G0003800	Chr5B	2702541	2703727	-	2703134	Chr5B	1509625	1510811	-	1510218	1.0	1.0	rearrangement:Chr5B_block1
gene:TraesCS5B03G0003900	Chr5B	2728736	2729284	+	2729010	Chr5B	1535838	1536386	+	1536112	1.0	1.0	rearrangement:Chr5B_block1
gene:TraesCS5B03G0004100	Chr5B	3293517	3295022	-	3294269	Chr5B	2079707	2081212	-	2080459	1.0	1.0	rearrangement:Chr5B_block1
gene:TraesCS5B03G0004200	Chr5B	3371571	3373018	-	3372294	Chr5B	2156924	2158371	-	2157647	1.0	1.0	rearrangement:Chr5B_block1
gene:TraesCS5B03G0004400	Chr5B	3564118	3565596	+	3564857	Chr5B	2349002	2350480	+	2349741	1.0	1.0	rearrangement:Chr5B_block1
gene:TraesCS5B03G0004500	Chr5B	3593228	3597197	-	3595212	Chr5B	2377963	2381932	-	2379947	1.0	1.0	rearrangement:Chr5B_block1
gene:TraesCS5B03G0004600	Chr5B	3603885	3607681	+	3605783	Chr5B	2388622	2392418	+	2390520	1.0	1.0	rearrangement:Chr5B_block1
gene:TraesCS5B03G0004700	Chr5B	3614607	3619532	+	3617069	Chr5B	2399344	2404116	+	2401730	1.0	0.999	rearrangement:Chr5B_block1
