cs_chr	cs_start	cs_end	Julius_tgt_chr	Julius_tgt_start	Julius_tgt_end	n_anchors	mean_identity
Chr4A	54084528	56476590	Chr4A	64789246	67250866	14	0.9959999999999999
Chr4A	76894789	78736365	Chr4A	67551588	69425809	11	0.9968181818181818
Chr4A	64962344	68944273	Chr4A	77385427	81359339	30	0.9891666666666664
Chr4A	255891836	264172555	Chr4A	302992183	311306505	14	0.9993571428571429
Chr4A	266692038	291455005	Chr4A	246950388	330253041	37	0.9986486486486486
Chr4A	293591696	312125594	Chr4A	257092895	275715754	26	0.9986538461538461
Chr4A	317950774	326248331	Chr4A	281549674	289932644	54	0.9992222222222222
Chr4A	81328	52597423	Chr4A	126832	52776317	557	0.9962010771992819
Chr4A	57142725	64159878	Chr4A	56951822	64076606	64	0.99409375
Chr4A	69252773	76596533	Chr4A	69720018	77076332	54	0.9926296296296295
Chr4A	81244931	130332624	Chr4A	81745474	131157814	280	0.9938535714285717
Chr4A	132517055	192330869	Chr4A	133207250	193078548	257	0.997898832684825
Chr4A	195074963	219652885	Chr4A	195824340	220420695	44	0.9994318181818183
Chr4A	221731546	222175913	Chr4A	222512621	222971396	3	1.0
Chr4A	224910983	226677182	Chr4A	225698924	227484763	4	1.0
Chr4A	229114346	242431315	Chr4A	229893491	243234629	21	0.9994285714285714
Chr4A	330781060	333487928	Chr4A	334236132	336942208	3	0.999
Chr4A	337968373	349413639	Chr4A	341483552	352866081	23	0.9978260869565218
Chr4A	351426691	353020297	Chr4A	354952658	356561925	4	1.0
Chr4A	355676988	358739297	Chr4A	359228374	362282384	6	0.9996666666666667
Chr4A	361169426	364704441	Chr4A	364729653	368260125	5	0.9852000000000001
Chr4A	372955440	386206032	Chr4A	376595539	389903071	15	0.9996000000000002
Chr4A	388345576	389986218	Chr4A	392043538	393676831	3	1.0
Chr4A	394095303	397542408	Chr4A	397778745	401255954	6	1.0
Chr4A	399782828	400323386	Chr4A	403488468	404040270	3	0.999
Chr4A	406605144	419576751	Chr4A	410325001	423301288	17	0.9967058823529411
Chr4A	421807811	507495678	Chr4A	425512516	511167225	410	0.9971878048780487
Chr4A	509609425	641040255	Chr4A	513304253	645652995	1458	0.9959053497942386
Chr4A	662571345	669760101	Chr4A	663814214	671642989	69	0.9944057971014494
Chr4A	688562054	697545603	Chr4A	692907711	701652755	70	0.996
Chr4A	699610649	754162718	Chr4A	703459675	754094680	510	0.9855196078431373
Chr4A	641496064	662543930	Chr4A	671670801	692466668	117	0.9944188034188035
Chr4A	670045060	688424293	Chr4A	645728285	663525700	233	0.9978326180257511
Chr4A	709035712	709771640	Chr4A	719385360	719972055	6	0.9584999999999999
