cs_chr	cs_start	cs_end	Julius_tgt_chr	Julius_tgt_start	Julius_tgt_end	n_anchors	mean_identity
Chr5B	2118778	5592378	Chr5B	923866	5345153	24	0.9995833333333334
Chr5B	6276500	7025771	Chr5B	8723342	9905114	11	0.9887272727272728
Chr5B	7027104	13763864	Chr5B	12158644	18966174	87	0.9958735632183907
Chr5B	21385286	21763630	Chr5B	26577823	26926946	6	0.9940000000000001
Chr5B	18593	1429275	Chr5B	5987211	10514503	11	0.9901818181818183
Chr5B	13814490	150623157	Chr5B	19080697	160770534	818	0.9935110024449878
Chr5B	153027140	156551532	Chr5B	163064791	167146285	8	0.9984999999999999
Chr5B	158568371	169148558	Chr5B	168289629	178786072	18	0.9979999999999999
Chr5B	193712534	194129805	Chr5B	203655936	204089984	3	0.9986666666666667
Chr5B	206148489	210381290	Chr5B	215921974	220179452	8	0.9982500000000001
Chr5B	222313523	239465934	Chr5B	236218861	253824687	70	0.9934999999999998
Chr5B	241488361	344742710	Chr5B	255646243	358945141	574	0.9979041811846691
Chr5B	346985936	386215007	Chr5B	361195277	400658097	215	0.9974837209302325
Chr5B	389314561	714671459	Chr5B	400914718	724986630	3189	0.9932257761053621
