gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Julius_tgt_chr	Julius_tgt_start	Julius_tgt_end	Julius_tgt_strand	Julius_tgt_midpoint	Julius_coverage	Julius_identity	segment
gene:TraesCS3D03G0000500	Chr3D	162008	165953	-	163980	Chr3D	260450	264280	+	262365	0.98	0.937	collinear
gene:TraesCS3D03G0002300	Chr3D	693528	696046	+	694787	Chr3D	1029716	1032323	-	1031019	0.996	0.954	collinear
gene:TraesCS3D03G0002700	Chr3D	817877	820684	+	819280	Chr3D	1260323	1263361	+	1261842	1.0	0.971	collinear
gene:TraesCS3D03G0003500	Chr3D	901329	904718	-	903023	Chr3D	1362895	1366215	+	1364555	1.0	0.954	collinear
gene:TraesCS3D03G0005200	Chr3D	1190842	1191189	-	1191015	Chr3D	1782755	1783102	-	1782928	1.0	0.942	collinear
gene:TraesCS3D03G0005300	Chr3D	1192861	1193316	-	1193088	Chr3D	1784527	1784976	-	1784751	0.967	0.907	collinear
gene:TraesCS3D03G0005400	Chr3D	1281513	1290345	-	1285929	Chr3D	1803353	1812154	-	1807753	0.974	0.932	collinear
gene:TraesCS3D03G0005700	Chr3D	1306177	1308940	+	1307558	Chr3D	1837801	1840655	+	1839228	1.0	0.966	collinear
gene:TraesCS3D03G0005800	Chr3D	1311820	1319448	-	1315634	Chr3D	1844032	1851763	-	1847897	0.99	0.916	collinear
gene:TraesCS3D03G0006200	Chr3D	1445437	1445859	+	1445648	Chr3D	1868230	1868637	+	1868433	0.964	0.938	collinear
gene:TraesCS3D03G0008200	Chr3D	1597665	1598401	-	1598033	Chr3D	1954216	1954950	-	1954583	0.998	0.93	collinear
gene:TraesCS3D03G0009200	Chr3D	1663003	1663416	+	1663209	Chr3D	2090708	2091121	+	2090914	1.0	0.971	collinear
gene:TraesCS3D03G0009300	Chr3D	1666794	1667266	+	1667030	Chr3D	2094629	2095101	+	2094865	0.997	0.959	collinear
gene:TraesCS3D03G0009700	Chr3D	1710714	1711334	+	1711024	Chr3D	2115506	2116123	+	2115814	0.995	0.95	collinear
gene:TraesCS3D03G0009900	Chr3D	1754612	1755127	+	1754869	Chr3D	2400041	2400556	+	2400298	1.0	0.905	collinear
gene:TraesCS3D03G0010000	Chr3D	1755449	1757937	+	1756693	Chr3D	2400853	2403229	+	2402041	1.0	0.971	collinear
gene:TraesCS3D03G0011500	Chr3D	2010145	2011606	-	2010875	Chr3D	2831573	2833034	-	2832303	0.998	0.979	collinear
gene:TraesCS3D03G0011600	Chr3D	2017247	2017954	-	2017600	Chr3D	2837988	2838694	-	2838341	0.998	0.956	collinear
gene:TraesCS3D03G0012400	Chr3D	2149067	2150912	-	2149989	Chr3D	3192050	3193890	-	3192970	0.991	0.936	collinear
gene:TraesCS3D03G0012600	Chr3D	2162896	2166424	+	2164660	Chr3D	3202394	3206311	+	3204352	0.97	0.922	collinear
gene:TraesCS3D03G0013200	Chr3D	2238841	2242333	-	2240587	Chr3D	3214366	3217909	-	3216137	0.988	0.907	collinear
