cs_chr	Julius_tgt_chr	n_anchors	Julius_mean_anchor_gap_Mb	Julius_interp_type	n_segments	Julius_mean_anchor_fraction
Chr1A	Chr1A+Chr1A+Chr1A+Chr1A+Chr1A+Chr1A	3992	0.105	linear+linear+linear+pchip_inverted+linear+linear	6	0.931
Chr1B	Chr1B	4266	0.164	linear	1	0.926
Chr1D	Chr1D	4340	0.115	linear	1	0.97
Chr2A	Chr2A+Chr2A+Chr2A+Chr2A+Chr2A	5422	0.189	linear+pchip_inverted+linear+linear+linear	5	0.918
Chr2B	Chr2B	5191	0.157	linear	1	0.889
Chr2D	Chr2D	5293	0.123	linear	1	0.934
Chr3A	Chr3A+Chr3A	4950	0.123	linear+linear	2	0.962
Chr3B	Chr3B+Chr3B+Chr3B+Chr3B	5385	0.333	linear+linear+linear+pchip_inverted	4	0.912
Chr3D	Chr3D	5036	0.123	linear	1	0.973
Chr4A	Chr4A+Chr4A+Chr4A+Chr4A+Chr4A+Chr4A+Chr4A	4442	0.334	linear+linear+pchip_inverted+linear+pchip_inverted+linear+linear	7	0.948
Chr4B	Chr4B+Chr4B+Chr4B	3524	0.129	linear+linear+pchip_inverted	3	0.761
Chr4D	Chr4D	3424	0.148	linear	1	0.959
Chr5A	Chr5A+Chr5A+Chr5A+Chr5A	5192	0.154	linear+pchip+linear+linear	4	0.955
Chr5B	Chr5B+Chr5B+Chr5B+Chr5B+Chr5B	5043	0.105	linear+linear+linear+pchip+linear	5	0.876
Chr5D	Chr5D+Chr5D+Chr5D	5410	0.08	linear+linear+linear	3	0.975
Chr6A	Chr6A+Chr6A+Chr6A+Chr6A	3843	0.189	linear+linear+pchip_inverted+pchip_inverted	4	0.957
Chr6B	Chr6B+Chr6B+Chr6B+Chr6B+Chr6B+Chr6B+Chr6B+Chr6B+Chr6B	4023	0.28	linear+pchip_inverted+pchip_inverted+pchip_inverted+pchip_inverted+linear+linear+pchip_inverted+pchip_inverted	9	0.898
Chr6D	Chr6D	3689	0.132	linear	1	0.944
Chr7A	Chr7A+Chr7A+Chr7A+Chr7A+Chr7A+Chr7A	5045	0.109	linear+linear+pchip_inverted+linear+pchip_inverted+linear	6	0.942
Chr7B	Chr7B+Chr7B+Chr7B+Chr7B+Chr7B+Chr7B	4354	0.504	linear+linear+linear+linear+linear+linear	6	0.92
Chr7D	Chr7D	5263	0.122	linear	1	0.975
