cs_chr	cs_start	cs_end	Julius_tgt_chr	Julius_tgt_start	Julius_tgt_end	n_anchors	mean_identity
Chr1B	170123	31339892	Chr1B	283795	30260048	378	0.9891375661375662
Chr1B	34084713	38402288	Chr1B	31219717	35595343	29	0.9922413793103446
Chr1B	41538264	77995417	Chr1B	37615445	72926001	245	0.9900857142857142
Chr1B	80022286	81974218	Chr1B	74897185	76866792	4	1.0
Chr1B	86500196	91210816	Chr1B	83640609	88403781	17	0.9948235294117648
Chr1B	93460686	224268457	Chr1B	90715111	221266444	584	0.9976335616438357
Chr1B	226868456	237708948	Chr1B	223792123	234682547	15	0.9965333333333334
Chr1B	246841035	249142619	Chr1B	245249461	251244105	6	1.0
Chr1B	251958660	272283175	Chr1B	255861352	276321796	50	0.99888
Chr1B	274419536	286636153	Chr1B	278445847	290696125	44	0.9973636363636365
Chr1B	288876286	296088628	Chr1B	293052999	300498534	30	0.9937333333333334
Chr1B	298738700	298817103	Chr1B	303096637	303182220	5	0.9932
Chr1B	301350787	324212763	Chr1B	305662526	332957553	85	0.9860941176470588
Chr1B	328166615	700379038	Chr1B	333369232	704110555	2771	0.9945987008300254
