gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	CS_CAU_tgt_chr	CS_CAU_tgt_start	CS_CAU_tgt_end	CS_CAU_tgt_strand	CS_CAU_tgt_midpoint	CS_CAU_coverage	CS_CAU_identity	segment
gene:TraesCS5D02G006900	Chr5D	5792275	5795547	+	5793911	Chr5D	5563925	5567197	-	5565561	1.0	1.0	rearrangement:Chr5D_block1
gene:TraesCS5D02G007000	Chr5D	5795798	5811501	-	5803649	Chr5D	5547971	5563674	+	5555822	1.0	1.0	rearrangement:Chr5D_block1
gene:TraesCS5D02G007100	Chr5D	5816382	5825369	-	5820875	Chr5D	5534380	5543090	+	5538735	1.0	1.0	rearrangement:Chr5D_block1
gene:TraesCS5D02G007200	Chr5D	6005545	6009431	+	6007488	Chr5D	5350777	5354663	-	5352720	1.0	1.0	rearrangement:Chr5D_block1
gene:TraesCS5D02G007300	Chr5D	6086019	6087311	-	6086665	Chr5D	5274000	5275292	+	5274646	1.0	1.0	rearrangement:Chr5D_block1
gene:TraesCS5D02G007400	Chr5D	6098712	6103466	-	6101089	Chr5D	5258346	5263100	+	5260723	1.0	1.0	rearrangement:Chr5D_block1
gene:TraesCS5D02G007500	Chr5D	6117352	6123906	+	6120629	Chr5D	5238182	5244736	-	5241459	1.0	1.0	rearrangement:Chr5D_block1
gene:TraesCS5D02G007600	Chr5D	6164783	6165481	-	6165132	Chr5D	5103304	5104002	+	5103653	1.0	0.992	rearrangement:Chr5D_block1
gene:TraesCS5D02G007700	Chr5D	6170878	6170982	-	6170930	Chr5D	5192009	5192113	+	5192061	1.0	1.0	rearrangement:Chr5D_block1
gene:TraesCS5D02G007800	Chr5D	6175689	6175876	-	6175782	Chr5D	5187115	5187302	+	5187208	1.0	0.994	rearrangement:Chr5D_block1
gene:TraesCS5D02G007900	Chr5D	6177829	6178296	-	6178062	Chr5D	5184688	5185155	+	5184921	1.0	1.0	rearrangement:Chr5D_block1
gene:TraesCS5D02G008000	Chr5D	6180089	6180199	-	6180144	Chr5D	5182785	5182895	+	5182840	1.0	1.0	rearrangement:Chr5D_block1
