cs_chr	CS_CAU_tgt_chr	n_anchors	CS_CAU_mean_anchor_gap_Mb	CS_CAU_interp_type	n_segments	CS_CAU_mean_anchor_fraction
Chr1A	Chr1A	4289	0.139	linear	1	0.987
Chr1B	Chr1B+Chr1B+Chr1B+Chr1B+Chr1B+Chr1B+Chr1B+Chr1B	4660	0.253	linear+linear+pchip+linear+linear+linear+linear+linear	8	0.993
Chr1D	Chr1D+Chr1D	4424	0.073	linear+linear	2	0.989
Chr2A	Chr2A+Chr2A+Chr2A+Chr2A+Chr2A+Chr2A+Chr2A	5444	0.559	linear+linear+linear+linear+linear+pchip_inverted+linear	7	0.96
Chr2B	Chr2B+Chr2B+Chr2B+Chr2B+Chr2B+Chr2B+Chr2B+Chr2B	6029	0.174	linear+linear+linear+linear+linear+linear+linear+linear	8	0.993
Chr2D	Chr2D+Chr2D	5718	0.082	linear+pchip_inverted	2	0.988
Chr3A	Chr3A+Chr3A+Chr3A+Chr3A+Chr3A+Chr3A+Chr3A	5207	0.097	linear+linear+linear+linear+linear+pchip+pchip	7	0.995
Chr3B	Chr3B+Chr3B+Chr3B	5802	0.086	linear+linear+pchip_inverted	3	0.985
Chr3D	Chr3D+Chr3D+Chr3D+Chr3D	5295	0.135	linear+linear+pchip_inverted+pchip_inverted	4	0.995
Chr4A	Chr4A+Chr4A+Chr4A+Chr4A+Chr4A	4678	0.207	linear+linear+linear+linear+linear	5	0.964
Chr4B	Chr4B+Chr4B+Chr4B+Chr4B	3829	0.272	linear+linear+linear+pchip	4	0.976
Chr4D	Chr4D+Chr4D	3560	0.1	linear+linear	2	0.994
Chr5A	Chr5A+Chr5A+Chr5A+Chr5A	5396	0.117	linear+linear+linear+linear	4	0.995
Chr5B	Chr5B+Chr5B+Chr5B+Chr5B	5480	0.079	linear+linear+linear+pchip	4	0.955
Chr5D	Chr5D+Chr5D+Chr5D	5516	0.055	linear+linear+pchip	3	0.991
Chr6A	Chr6A	4105	0.151	linear	1	0.991
Chr6B	Chr6B+Chr6B+Chr6B+Chr6B+Chr6B	4558	0.231	linear+linear+linear+linear+pchip_inverted	5	0.966
Chr6D	Chr6D+Chr6D+Chr6D+Chr6D	3953	0.075	linear+linear+pchip+pchip_inverted	4	0.991
Chr7A	Chr7A+Chr7A	5509	0.082	linear+linear	2	0.993
Chr7B	Chr7B+Chr7B+Chr7B+Chr7B	4756	0.148	linear+linear+linear+pchip_inverted	4	0.987
Chr7D	Chr7D+Chr7D+Chr7D	5364	0.07	linear+pchip+pchip_inverted	3	0.993
