cs_chr	cs_start	cs_end	CS_CAU_tgt_chr	CS_CAU_tgt_start	CS_CAU_tgt_end	n_anchors	mean_identity
Chr6A	57605	162912229	Chr6A	610710	167334937	1624	0.9997222906403941
Chr6A	166503285	172174207	Chr6A	170882543	176509110	30	0.9996333333333334
Chr6A	174450789	233957452	Chr6A	178766597	238063754	206	0.9996456310679612
Chr6A	241266065	242194840	Chr6A	245292785	246208700	3	1.0
Chr6A	248542355	252837117	Chr6A	252604255	256858670	8	1.0
Chr6A	254937051	261705155	Chr6A	259040892	265768641	21	0.9983333333333333
Chr6A	263891514	273262995	Chr6A	267944906	277286186	20	0.9976499999999999
Chr6A	276303162	290261504	Chr6A	280986008	296781612	20	0.9993500000000001
Chr6A	297672165	317154843	Chr6A	303143982	322455016	22	0.999909090909091
Chr6A	321270304	324290097	Chr6A	326528438	329510552	8	1.0
Chr6A	326393120	330049812	Chr6A	331597845	335243267	6	1.0
Chr6A	332183472	344185082	Chr6A	337354371	349263335	16	0.9955
Chr6A	346572929	346594380	Chr6A	351628396	351649847	3	1.0
Chr6A	351830716	353340072	Chr6A	356951078	358453168	4	0.99975
Chr6A	355403353	526163009	Chr6A	360505752	531090146	865	0.9995976878612716
Chr6A	528356098	617935753	Chr6A	533260537	626149906	1242	0.9994758454106282
