cs_chr	cs_start	cs_end	CS_CAU_tgt_chr	CS_CAU_tgt_start	CS_CAU_tgt_end	n_anchors	mean_identity
Chr6D	43783	18534176	Chr6D	114333	19835196	434	0.9997119815668203
Chr6D	23834558	26255608	Chr6D	26317076	28725041	65	1.0
Chr6D	46902857	49450861	Chr6D	79541067	82068371	31	0.9975806451612903
Chr6D	18775660	23748159	Chr6D	21256060	26231669	50	1.0
Chr6D	26351226	46873994	Chr6D	33843537	74115880	251	0.9999083665338646
Chr6D	50179900	164765103	Chr6D	74787046	191937370	877	0.9995963511972633
Chr6D	166779487	214550301	Chr6D	193947139	241766063	74	0.9988513513513513
Chr6D	216846232	227401287	Chr6D	243971590	254483602	15	0.9989333333333333
Chr6D	232122220	239805311	Chr6D	259184463	266807270	12	0.9941666666666666
Chr6D	242219199	280904417	Chr6D	269198403	310019891	145	0.9986551724137932
Chr6D	283156017	415028218	Chr6D	312256798	443690544	1035	0.9998743961352656
Chr6D	417690848	472568654	Chr6D	446346599	503099774	963	0.9995815160955348
