cs_chr	cs_start	cs_end	CS_CAU_tgt_chr	CS_CAU_tgt_start	CS_CAU_tgt_end	n_anchors	mean_identity
Chr3D	2374672	3824424	Chr3D	723465	2137579	39	1.0
Chr3D	299594493	309084975	Chr3D	328750550	338193630	78	0.9999358974358975
Chr3D	316562161	324312558	Chr3D	313618367	321310662	31	0.9999032258064516
Chr3D	325803	116408326	Chr3D	2203092	129008791	1429	0.9997256822953113
Chr3D	118542402	193596645	Chr3D	131138698	206886140	420	0.9995642857142857
Chr3D	196947044	200390459	Chr3D	210229046	213649152	5	1.0
Chr3D	202614073	202651143	Chr3D	216178925	216214976	4	0.99725
Chr3D	206979095	213997235	Chr3D	220512184	227503331	11	0.9991818181818182
Chr3D	216425033	219568689	Chr3D	229934298	233045741	6	1.0
Chr3D	225525420	232470513	Chr3D	239188475	246099555	13	0.9996153846153846
Chr3D	234603090	244292283	Chr3D	248213620	258920535	13	0.9977692307692307
Chr3D	246327705	257173258	Chr3D	259768937	271779739	29	1.0
Chr3D	259434941	298593191	Chr3D	274023359	313026831	142	0.9985915492957748
Chr3D	309654306	316169021	Chr3D	321702778	328184293	38	1.0
Chr3D	324387385	492131921	Chr3D	338877573	505345158	1388	0.999608069164265
Chr3D	494653889	615474754	Chr3D	508309661	633225532	1647	0.9997261687917426
