cs_chr	cs_start	cs_end	CS_CAU_tgt_chr	CS_CAU_tgt_start	CS_CAU_tgt_end	n_anchors	mean_identity
Chr1B	3563061	4348969	Chr1B	174397	952626	24	1.0
Chr1B	4464317	5381467	Chr1B	1356075	2267387	37	0.9986756756756757
Chr1B	30395529	30881192	Chr1B	27062791	27540206	10	0.9998000000000001
Chr1B	222286062	223795187	Chr1B	258605616	260107427	5	1.0
Chr1B	225799645	231641237	Chr1B	250621764	256617706	9	0.9991111111111112
Chr1B	238674276	243089038	Chr1B	238689729	243152146	7	1.0
Chr1B	245942911	246982998	Chr1B	233837487	234849106	5	1.0
Chr1B	170911	2918801	Chr1B	3150305	6066469	46	0.9980869565217391
Chr1B	5510078	76138867	Chr1B	6493198	85584613	732	0.9996024590163936
Chr1B	80709308	85441230	Chr1B	90541225	95255102	18	1.0
Chr1B	87732453	218433567	Chr1B	97510835	230245522	588	0.9998146258503403
Chr1B	234252905	237375422	Chr1B	244425582	248018977	7	1.0
Chr1B	248235100	289694136	Chr1B	262349311	305041592	124	0.9995241935483871
Chr1B	292342566	292422556	Chr1B	307700575	307778986	5	1.0
Chr1B	294946215	685825101	Chr1B	310301674	709800678	3013	0.9996325921008962
Chr1B	688707404	688999168	Chr1B	708415473	708705128	3	1.0
Chr1B	686683305	687797032	Chr1B	712731752	713911401	26	0.9961153846153845
