cs_chr	cs_start	cs_end	CS_CAU_tgt_chr	CS_CAU_tgt_start	CS_CAU_tgt_end	n_anchors	mean_identity
Chr4A	82701	130504034	Chr4A	141846	130032758	1058	0.9996625708884689
Chr4A	132701921	192628546	Chr4A	132219026	191967917	262	0.9999656488549618
Chr4A	195313531	220022826	Chr4A	194629597	219217473	44	0.9981136363636364
Chr4A	222107768	222562036	Chr4A	221290537	221734859	3	1.0
Chr4A	225313869	227091476	Chr4A	224457206	226217959	4	1.0
Chr4A	229493172	242884659	Chr4A	228640978	241942765	21	1.0
Chr4A	258636830	263897149	Chr4A	265615824	270813613	8	1.0
Chr4A	329170186	334268011	Chr4A	328972279	334165660	6	1.0
Chr4A	338745706	350244063	Chr4A	338643910	349901844	22	0.9999545454545455
Chr4A	352270324	353874280	Chr4A	351984404	353577676	4	1.0
Chr4A	356554191	359638234	Chr4A	356233466	359289697	6	1.0
Chr4A	362089683	365639149	Chr4A	361720075	365242525	5	1.0
Chr4A	373805571	387104269	Chr4A	374038222	387447756	15	1.0
Chr4A	389242085	390892975	Chr4A	389572280	391195926	3	1.0
Chr4A	395027325	398506001	Chr4A	395284952	398729238	6	1.0
Chr4A	400757887	401303656	Chr4A	400963563	401503545	3	1.0
Chr4A	407610912	420517232	Chr4A	407738011	420679283	17	0.9998823529411766
Chr4A	422761993	508494353	Chr4A	422903431	508275077	418	0.9997464114832536
Chr4A	510639254	641000436	Chr4A	510385895	643300850	1506	0.9995810092961487
Chr4A	660625119	667063202	Chr4A	662541516	670242896	72	0.9995555555555556
Chr4A	687627301	713834218	Chr4A	692820172	723710667	277	0.999404332129964
