gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	CS_CAU_tgt_chr	CS_CAU_tgt_start	CS_CAU_tgt_end	CS_CAU_tgt_strand	CS_CAU_tgt_midpoint	CS_CAU_coverage	CS_CAU_identity	segment
gene:TraesCS2B02G014700	Chr2B	6985720	6987504	-	6986612	Chr2B	7869390	7871174	+	7870282	1.0	1.0	rearrangement:Chr2B_block1
gene:TraesCS2B02G014800	Chr2B	7043071	7043934	-	7043502	Chr2B	7813243	7814106	+	7813674	1.0	1.0	rearrangement:Chr2B_block1
gene:TraesCS2B02G014900	Chr2B	7066657	7069681	+	7068169	Chr2B	7787496	7790520	-	7789008	1.0	1.0	rearrangement:Chr2B_block1
gene:TraesCS2B02G015000	Chr2B	7081061	7081943	-	7081502	Chr2B	7775234	7776116	+	7775675	1.0	1.0	rearrangement:Chr2B_block1
gene:TraesCS2B02G015100	Chr2B	7108878	7109882	+	7109380	Chr2B	7747457	7748461	-	7747959	1.0	1.0	rearrangement:Chr2B_block1
gene:TraesCS2B02G015200	Chr2B	7112372	7115821	-	7114096	Chr2B	7741518	7744967	+	7743242	1.0	1.0	rearrangement:Chr2B_block1
gene:TraesCS2B02G015300	Chr2B	7146882	7149155	-	7148018	Chr2B	7711181	7713454	+	7712317	1.0	1.0	rearrangement:Chr2B_block1
gene:TraesCS2B02G015400	Chr2B	7160657	7161649	+	7161153	Chr2B	7698687	7699679	-	7699183	1.0	1.0	rearrangement:Chr2B_block1
gene:TraesCS2B02G015500	Chr2B	7428456	7443833	+	7436144	Chr2B	7093069	7108369	-	7100719	1.0	1.0	rearrangement:Chr2B_block1
gene:TraesCS2B02G015600	Chr2B	7447722	7460468	-	7454095	Chr2B	7076694	7089356	+	7083025	1.0	1.0	rearrangement:Chr2B_block1
gene:TraesCS2B02G015700	Chr2B	7565607	7579969	+	7572788	Chr2B	6958152	6972520	-	6965336	1.0	1.0	rearrangement:Chr2B_block1
gene:TraesCS2B02G015900	Chr2B	7643087	7645223	+	7644155	Chr2B	6893294	6895430	-	6894362	1.0	1.0	rearrangement:Chr2B_block1
gene:TraesCS2B02G016000	Chr2B	7645446	7648835	-	7647140	Chr2B	6889682	6893071	+	6891376	1.0	1.0	rearrangement:Chr2B_block1
gene:TraesCS2B02G016100	Chr2B	7654561	7658535	+	7656548	Chr2B	6879982	6883956	-	6881969	1.0	1.0	rearrangement:Chr2B_block1
gene:TraesCS2B02G016200	Chr2B	7661710	7662105	-	7661907	Chr2B	6876412	6876807	+	6876609	1.0	1.0	rearrangement:Chr2B_block1
gene:TraesCS2B02G016300	Chr2B	7682563	7684162	-	7683362	Chr2B	6854643	6856242	+	6855442	1.0	1.0	rearrangement:Chr2B_block1
gene:TraesCS2B02G016400	Chr2B	7689153	7689905	+	7689529	Chr2B	6848900	6849652	-	6849276	1.0	1.0	rearrangement:Chr2B_block1
gene:TraesCS2B02G016500	Chr2B	7771483	7773424	-	7772453	Chr2B	6765957	6767898	+	6766927	1.0	1.0	rearrangement:Chr2B_block1
gene:TraesCS2B02G016600	Chr2B	7776644	7778289	+	7777466	Chr2B	6761092	6762737	-	6761914	1.0	1.0	rearrangement:Chr2B_block1
gene:TraesCS2B02G016700	Chr2B	7799305	7803764	-	7801534	Chr2B	6735974	6740433	+	6738203	1.0	1.0	rearrangement:Chr2B_block1
gene:TraesCS2B02G016800	Chr2B	7814111	7816247	-	7815179	Chr2B	6723796	6725932	+	6724864	1.0	1.0	rearrangement:Chr2B_block1
gene:TraesCS2B02G016900	Chr2B	7837463	7839019	+	7838241	Chr2B	6701024	6702580	-	6701802	1.0	1.0	rearrangement:Chr2B_block1
gene:TraesCS2B02G017000	Chr2B	7855218	7856756	-	7855987	Chr2B	6684292	6685830	+	6685061	1.0	1.0	rearrangement:Chr2B_block1
gene:TraesCS2B02G017100	Chr2B	7912589	7912843	-	7912716	Chr2B	6628987	6629241	+	6629114	1.0	1.0	rearrangement:Chr2B_block1
gene:TraesCS2B02G017200	Chr2B	8010162	8011870	+	8011016	Chr2B	6530743	6532451	-	6531597	1.0	1.0	rearrangement:Chr2B_block1
gene:TraesCS2B02G017300	Chr2B	8069953	8071429	-	8070691	Chr2B	6471575	6473051	+	6472313	1.0	1.0	rearrangement:Chr2B_block1
gene:TraesCS2B02G017400	Chr2B	8078296	8082949	-	8080622	Chr2B	6460441	6465094	+	6462767	1.0	1.0	rearrangement:Chr2B_block1
gene:TraesCS2B02G017500	Chr2B	8174824	8176508	+	8175666	Chr2B	6368989	6370673	-	6369831	1.0	1.0	rearrangement:Chr2B_block1
gene:TraesCS2B02G017600	Chr2B	8233761	8238443	-	8236102	Chr2B	6307152	6311834	+	6309493	1.0	1.0	rearrangement:Chr2B_block1
gene:TraesCS2B02G017700	Chr2B	8249939	8252085	-	8251012	Chr2B	6293680	6295826	+	6294753	1.0	1.0	rearrangement:Chr2B_block1
gene:TraesCS2B02G017800	Chr2B	8272928	8274588	+	8273758	Chr2B	6271177	6272837	-	6272007	1.0	1.0	rearrangement:Chr2B_block1
gene:TraesCS2B02G017900	Chr2B	8275358	8275759	+	8275558	Chr2B	6270006	6270407	-	6270206	1.0	1.0	rearrangement:Chr2B_block1
gene:TraesCS2B02G018000	Chr2B	8276722	8278488	+	8277605	Chr2B	6267277	6269043	-	6268160	1.0	1.0	rearrangement:Chr2B_block1
gene:TraesCS2B02G018100	Chr2B	8290068	8293511	-	8291789	Chr2B	6252254	6255697	+	6253975	1.0	1.0	rearrangement:Chr2B_block1
gene:TraesCS2B02G018200	Chr2B	8385714	8389997	+	8387855	Chr2B	6157809	6162092	-	6159950	1.0	1.0	rearrangement:Chr2B_block1
gene:TraesCS2B02G018300	Chr2B	8500503	8508395	+	8504449	Chr2B	5487143	5494946	-	5491044	1.0	1.0	rearrangement:Chr2B_block1
gene:TraesCS2B02G018400	Chr2B	8511941	8514055	+	8512998	Chr2B	5481483	5483597	-	5482540	1.0	1.0	rearrangement:Chr2B_block1
gene:TraesCS2B02G018500	Chr2B	8561501	8569381	+	8565441	Chr2B	5427752	5435398	-	5431575	1.0	1.0	rearrangement:Chr2B_block1
gene:TraesCS2B02G018600	Chr2B	8592551	8596822	+	8594686	Chr2B	5401351	5405622	-	5403486	1.0	1.0	rearrangement:Chr2B_block1
gene:TraesCS2B02G018700	Chr2B	8666351	8668189	+	8667270	Chr2B	5329958	5331796	-	5330877	1.0	0.999	rearrangement:Chr2B_block1
gene:TraesCS2B02G018800	Chr2B	8670792	8671418	+	8671105	Chr2B	5326729	5327355	-	5327042	1.0	1.0	rearrangement:Chr2B_block1
gene:TraesCS2B02G018900	Chr2B	8747772	8748197	-	8747984	Chr2B	5250274	5250699	+	5250486	1.0	1.0	rearrangement:Chr2B_block1
gene:TraesCS2B02G019000	Chr2B	8749777	8750544	-	8750160	Chr2B	5247927	5248694	+	5248310	1.0	1.0	rearrangement:Chr2B_block1
gene:TraesCS2B02G019100	Chr2B	8766184	8773006	-	8769595	Chr2B	5225634	5232287	+	5228960	1.0	1.0	rearrangement:Chr2B_block1
gene:TraesCS2B02G019200	Chr2B	8941857	8943384	+	8942620	Chr2B	5055660	5057187	-	5056423	1.0	1.0	rearrangement:Chr2B_block1
gene:TraesCS2B02G019300	Chr2B	8994419	8997178	+	8995798	Chr2B	5002598	5005357	-	5003977	1.0	1.0	rearrangement:Chr2B_block1
gene:TraesCS2B02G019400	Chr2B	8997920	8998846	+	8998383	Chr2B	5000930	5001856	-	5001393	1.0	1.0	rearrangement:Chr2B_block1
gene:TraesCS2B02G019500	Chr2B	9016257	9034173	-	9025215	Chr2B	4965951	4983472	+	4974711	1.0	1.0	rearrangement:Chr2B_block1
gene:TraesCS2B02G019600	Chr2B	9104917	9105804	-	9105360	Chr2B	4607862	4608749	-	4608305	1.0	1.0	rearrangement:Chr2B_block1
gene:TraesCS2B02G019800	Chr2B	9122805	9127661	-	9125233	Chr2B	4625452	4630308	-	4627880	1.0	1.0	rearrangement:Chr2B_block1
gene:TraesCS2B02G019900	Chr2B	9143706	9146396	+	9145051	Chr2B	4645978	4648668	+	4647323	1.0	1.0	rearrangement:Chr2B_block1
gene:TraesCS2B02G020000	Chr2B	9197533	9199065	-	9198299	Chr2B	4699806	4701338	-	4700572	1.0	1.0	rearrangement:Chr2B_block1
gene:TraesCS2B02G060700	Chr2B	29108660	29109905	-	29109282	Chr2B	48767959	48769204	+	48768581	1.0	1.0	rearrangement:Chr2B_block2
gene:TraesCS2B02G060800	Chr2B	29118956	29120236	+	29119596	Chr2B	48757628	48758908	-	48758268	1.0	1.0	rearrangement:Chr2B_block2
gene:TraesCS2B02G060900	Chr2B	29151886	29157623	+	29154754	Chr2B	48720746	48726483	-	48723614	1.0	1.0	rearrangement:Chr2B_block2
gene:TraesCS2B02G061000	Chr2B	29173179	29179649	+	29176414	Chr2B	48698720	48705190	-	48701955	1.0	1.0	rearrangement:Chr2B_block2
gene:TraesCS2B02G061100	Chr2B	29184766	29188047	+	29186406	Chr2B	48690322	48693603	-	48691962	1.0	1.0	rearrangement:Chr2B_block2
gene:TraesCS2B02G061200	Chr2B	29218241	29219713	+	29218977	Chr2B	48658922	48660394	-	48659658	1.0	1.0	rearrangement:Chr2B_block2
gene:TraesCS2B02G061300	Chr2B	29263110	29264631	+	29263870	Chr2B	48614284	48615805	-	48615044	1.0	1.0	rearrangement:Chr2B_block2
gene:TraesCS2B02G061400	Chr2B	29318426	29319827	+	29319126	Chr2B	48559335	48560736	-	48560035	1.0	1.0	rearrangement:Chr2B_block2
gene:TraesCS2B02G061500	Chr2B	29350461	29350733	+	29350597	Chr2B	48529077	48529349	-	48529213	1.0	1.0	rearrangement:Chr2B_block2
gene:TraesCS2B02G061600	Chr2B	29532782	29536976	+	29534879	Chr2B	48344843	48349037	-	48346940	1.0	1.0	rearrangement:Chr2B_block2
