cs_chr	cs_start	cs_end	CS_CAU_tgt_chr	CS_CAU_tgt_start	CS_CAU_tgt_end	n_anchors	mean_identity
Chr2A	2645798	240818173	Chr2A	3141786	247330316	2148	0.9996662011173184
Chr2A	249151448	252091236	Chr2A	255608444	258516903	6	1.0
Chr2A	255910505	258353437	Chr2A	262293570	264713951	8	1.0
Chr2A	260548731	262579565	Chr2A	266890401	268903874	7	1.0
Chr2A	265274570	273294992	Chr2A	271579314	279801318	16	1.0
Chr2A	275352399	281746218	Chr2A	281837596	288211133	23	1.0
Chr2A	283944564	286439768	Chr2A	290387180	292869763	5	1.0
Chr2A	288988301	294768029	Chr2A	295396358	301105481	8	1.0
Chr2A	297253831	306682759	Chr2A	303572402	312923562	11	1.0
Chr2A	309689781	315039543	Chr2A	315892091	322380273	7	1.0
Chr2A	317947462	324619894	Chr2A	325262776	331882731	12	0.9999166666666667
Chr2A	331195967	335394528	Chr2A	337806243	341949205	9	0.9998888888888889
Chr2A	340608829	341927845	Chr2A	349681223	351623090	3	1.0
Chr2A	349721260	353475914	Chr2A	357606411	361326482	9	1.0
Chr2A	364470917	366720526	Chr2A	369733227	371953591	6	1.0
Chr2A	369202998	395710262	Chr2A	378391797	405024844	92	0.99975
Chr2A	398464297	398971793	Chr2A	409471809	409973550	4	1.0
Chr2A	405468040	486499474	Chr2A	414664605	495337280	275	0.9994727272727273
Chr2A	488847564	547776466	Chr2A	497662330	556409931	321	0.9997507788161992
Chr2A	563768705	568581517	Chr2A	572058409	576829246	42	0.9992380952380954
Chr2A	582840575	761027623	Chr2A	591533057	769625627	2072	0.9997538610038609
Chr2A	768929200	773563132	Chr2A	778081734	782972639	79	1.0
