cs_chr	cs_start	cs_end	CS_CAU_tgt_chr	CS_CAU_tgt_start	CS_CAU_tgt_end	n_anchors	mean_identity
Chr4B	273245585	273980394	Chr4B	280652491	281392491	6	0.999
Chr4B	357909130	364488120	Chr4B	384925886	391435282	13	0.9946923076923078
Chr4B	368106346	376425817	Chr4B	395709232	403952647	40	1.0
Chr4B	230	83143343	Chr4B	403940	88562081	828	0.9995096618357489
Chr4B	85363222	152088859	Chr4B	90772488	157378789	389	0.999917737789203
Chr4B	154112314	161625531	Chr4B	159377520	167166695	12	1.0
Chr4B	163837175	203850975	Chr4B	169750423	210255975	181	0.9996906077348067
Chr4B	206794132	223387060	Chr4B	213152882	229732344	43	0.9997906976744186
Chr4B	226512235	230010047	Chr4B	232847591	236319520	4	1.0
Chr4B	234929847	256332590	Chr4B	242115074	263556955	23	1.0
Chr4B	258773888	260054174	Chr4B	265994310	267286955	4	1.0
Chr4B	275998809	277403864	Chr4B	283706019	285101258	5	1.0
Chr4B	279979629	282885258	Chr4B	288479533	291819856	3	1.0
Chr4B	285555605	286747008	Chr4B	294491283	295675977	5	0.9998000000000001
Chr4B	291844033	291890141	Chr4B	302353857	302398306	4	1.0
Chr4B	295046802	296948857	Chr4B	305524645	307518547	3	1.0
Chr4B	299559143	302859664	Chr4B	310113501	315173389	5	1.0
Chr4B	305479702	317762138	Chr4B	316299326	328468410	33	1.0
Chr4B	322661593	324977743	Chr4B	337475139	339768911	6	0.9986666666666667
Chr4B	327191689	330784063	Chr4B	341892090	345458877	8	1.0
Chr4B	333372518	335941430	Chr4B	348056651	350615444	5	1.0
Chr4B	338426211	352152996	Chr4B	353081441	367123513	21	0.9984761904761906
Chr4B	364669470	367927360	Chr4B	391612630	394827423	7	1.0
Chr4B	377375625	429353205	Chr4B	404902509	457111371	282	0.9999432624113477
Chr4B	431793129	673534850	Chr4B	459533469	706032836	1894	0.9996863780359029
