cs_chr	cs_start	cs_end	CS_CAU_tgt_chr	CS_CAU_tgt_start	CS_CAU_tgt_end	n_anchors	mean_identity
Chr6B	114487	103962989	Chr6B	816961	110064769	1136	0.9996927816901409
Chr6B	106468710	109142658	Chr6B	112558949	115206577	7	1.0
Chr6B	111685641	240401733	Chr6B	117732637	246526165	816	0.9997867647058823
Chr6B	243269422	252842611	Chr6B	249341476	259282023	30	1.0
Chr6B	255004953	262472341	Chr6B	261424056	268876802	32	1.0
Chr6B	264839998	264978909	Chr6B	271216407	271354579	6	1.0
Chr6B	269689585	282983990	Chr6B	276317933	289500831	44	0.999909090909091
Chr6B	291769990	302596217	Chr6B	299325635	310001193	31	0.9978064516129033
Chr6B	304894478	311549509	Chr6B	312267323	323343703	14	0.9994285714285714
Chr6B	317213268	321293096	Chr6B	325259061	329326200	11	1.0
Chr6B	341712366	343111521	Chr6B	356753079	358140799	5	1.0
Chr6B	371611328	374970725	Chr6B	385082331	388613514	5	1.0
Chr6B	399766388	426829844	Chr6B	416009257	445129197	62	0.9971774193548387
Chr6B	429264238	441049080	Chr6B	447526555	461471194	53	0.999867924528302
Chr6B	444540716	620708761	Chr6B	464950269	642683470	1039	0.9998710298363811
Chr6B	622726250	626889431	Chr6B	645115543	649239452	38	1.0
Chr6B	630465748	720953306	Chr6B	652812294	746822085	1110	0.9995657657657658
