cs_chr	cs_start	cs_end	CS_CAU_tgt_chr	CS_CAU_tgt_start	CS_CAU_tgt_end	n_anchors	mean_identity
Chr3B	984384	1786651	Chr3B	336315	1124713	14	0.9998571428571429
Chr3B	213691	664585	Chr3B	1579130	2045578	6	1.0
Chr3B	3307676	85340142	Chr3B	4611865	100734414	1069	0.9996950420954163
Chr3B	87718232	191189469	Chr3B	103106139	207232061	616	0.9997435064935065
Chr3B	193609697	195100861	Chr3B	209627778	211106419	11	1.0
Chr3B	197792489	207735313	Chr3B	213772500	223626767	86	0.9998372093023257
Chr3B	212297313	215613173	Chr3B	228152411	231443856	13	1.0
Chr3B	219342949	230195021	Chr3B	235151782	246146847	55	0.999909090909091
Chr3B	235855911	277099960	Chr3B	251728707	292918503	199	0.9999798994974874
Chr3B	283596077	284678121	Chr3B	299598006	300674832	4	0.995
Chr3B	289595308	296187942	Chr3B	305722796	312460805	9	1.0
Chr3B	299132814	317625373	Chr3B	315423458	334829069	24	1.0
Chr3B	322293448	338599491	Chr3B	339447990	355806003	24	1.0
Chr3B	340796436	344298264	Chr3B	357987656	361480532	7	0.9995714285714286
Chr3B	347801166	355438414	Chr3B	365978389	373580528	16	0.99875
Chr3B	358584653	467052960	Chr3B	375430178	488343311	549	0.999384335154827
Chr3B	469640104	516001137	Chr3B	490905401	537520644	269	0.9996728624535317
Chr3B	518913010	822217332	Chr3B	542340976	857569124	2722	0.9996160911094782
Chr3B	825290323	830611341	Chr3B	857935179	863769485	69	0.9986521739130434
Chr3B	822668680	824392163	Chr3B	865265564	866965766	34	0.9999705882352942
