cs_chr	cs_start	cs_end	Sumai3_tgt_chr	Sumai3_tgt_start	Sumai3_tgt_end	n_anchors	mean_identity
Chr7A	146678066	157400932	Chr7A	169317894	180629464	79	0.9954810126582276
Chr7A	162400342	171949346	Chr7A	153709574	163628079	92	0.9951739130434782
Chr7A	211205518	211732393	Chr7A	167743328	168307308	15	0.99
Chr7A	239629	71670370	Chr7A	307256	76307409	868	0.9911728110599078
Chr7A	73730871	146026136	Chr7A	79253812	153006167	692	0.9967615606936416
Chr7A	157596154	161996001	Chr7A	163962734	167728588	15	0.9940666666666667
Chr7A	171535728	311914665	Chr7A	181080200	320731068	687	0.9976986899563318
Chr7A	314415263	356369547	Chr7A	323216791	365420259	81	0.9985925925925926
Chr7A	359051136	360613751	Chr7A	368046827	369583517	3	0.999
Chr7A	362739671	388772773	Chr7A	373674619	400671929	38	0.9987368421052633
Chr7A	391904207	736698014	Chr7A	403792716	753861634	2511	0.9966121067303862
