cs_chr	cs_start	cs_end	Sumai3_tgt_chr	Sumai3_tgt_start	Sumai3_tgt_end	n_anchors	mean_identity
Chr5A	389056643	392580240	Chr5A	404983749	408475419	26	0.9991538461538462
Chr5A	398191503	402162710	Chr5A	395494613	399435262	35	0.9990857142857141
Chr5A	429656560	430640620	Chr5A	430576328	431554802	14	1.0
Chr5A	14293	60528080	Chr5A	21316	65042431	557	0.9985547576301614
Chr5A	63377052	151734470	Chr5A	67902889	155388507	405	0.9994172839506174
Chr5A	155555039	159534199	Chr5A	159242350	163376312	12	1.0
Chr5A	161914114	180994113	Chr5A	165735905	184988976	37	0.9998378378378379
Chr5A	183430057	185651119	Chr5A	187405518	189605439	4	1.0
Chr5A	191038029	199222973	Chr5A	194946321	203050954	16	0.9999375
Chr5A	203479442	222599127	Chr5A	207277148	226451293	33	0.9997878787878789
Chr5A	224689467	248536470	Chr5A	228524621	255651741	62	0.9999354838709676
Chr5A	253597688	388640539	Chr5A	259246113	394957271	645	0.9997116279069769
Chr5A	393253490	397783782	Chr5A	399826880	404313006	47	0.9999787234042554
Chr5A	402540994	429513678	Chr5A	408735995	436179423	148	0.9986486486486488
Chr5A	431744154	709195222	Chr5A	437873993	720425422	3235	0.9970933539412673
