cs_chr	cs_start	cs_end	Sumai3_tgt_chr	Sumai3_tgt_start	Sumai3_tgt_end	n_anchors	mean_identity
Chr2B	1316345	8387855	Chr2B	349782	8729939	145	0.9951241379310345
Chr2B	11180525	11237488	Chr2B	2312620	2379426	4	0.99225
Chr2B	97424734	109162483	Chr2B	109459663	121332274	99	0.9916565656565657
Chr2B	118864800	123101136	Chr2B	130958773	135124796	31	0.9958387096774193
Chr2B	256326933	270216010	Chr2B	267655027	282085162	33	1.0
Chr2B	272550652	290521601	Chr2B	284428336	302569402	27	0.9997037037037038
Chr2B	361424474	366837113	Chr2B	376933156	382304333	15	1.0
Chr2B	373303538	374802272	Chr2B	369016599	370502084	19	0.9984210526315789
Chr2B	375133991	379787029	Chr2B	262627434	267249396	15	1.0
Chr2B	10698	1286617	Chr2B	4651893	12909417	18	0.9997777777777779
Chr2B	9283222	97954726	Chr2B	13250475	109956895	956	0.9952071129707112
Chr2B	109870629	118689633	Chr2B	121349871	130454873	87	0.9924367816091954
Chr2B	129392470	240314058	Chr2B	136283198	246856493	768	0.9970625000000001
Chr2B	242536523	255576141	Chr2B	249055376	261976717	96	1.0
Chr2B	298159381	303097333	Chr2B	304443129	307920205	9	0.9888888888888889
Chr2B	305321036	318205778	Chr2B	310227866	323480728	16	1.0
Chr2B	320343927	333044217	Chr2B	325717258	338630273	21	1.0
Chr2B	335510269	342279112	Chr2B	341066965	347748788	9	1.0
Chr2B	346670378	361286666	Chr2B	351482201	368844186	55	1.0
Chr2B	367683323	372089060	Chr2B	371709467	376094383	19	0.9999473684210528
Chr2B	379832912	793530997	Chr2B	382504830	796922707	3202	0.9972898188632106
Chr2B	796804546	801254636	Chr2B	797365898	802509144	70	0.9999142857142858
Chr2B	793579729	796599075	Chr2B	802712065	805966028	59	0.9992203389830508
