cs_chr	cs_start	cs_end	Sumai3_tgt_chr	Sumai3_tgt_start	Sumai3_tgt_end	n_anchors	mean_identity
Chr6B	114487	103962989	Chr6B	911528	109856600	976	0.9910215163934427
Chr6B	106474316	109142658	Chr6B	113164317	115558541	6	0.9876666666666667
Chr6B	111685641	240401733	Chr6B	118179123	248777997	779	0.9967766367137356
Chr6B	243269422	252842611	Chr6B	251597109	261265969	30	1.0
Chr6B	255004953	262472341	Chr6B	263407716	270881814	32	0.9998750000000001
Chr6B	264839998	264978909	Chr6B	273221418	273359599	6	1.0
Chr6B	267065797	267505591	Chr6B	275422394	275858360	3	0.9993333333333334
Chr6B	269689585	282983990	Chr6B	278138790	291307464	45	0.9998888888888888
Chr6B	286712737	293114190	Chr6B	294995917	301457131	24	0.9986666666666667
Chr6B	295767133	302596217	Chr6B	304948505	311955946	27	0.9978148148148148
Chr6B	304894478	321293096	Chr6B	314224801	330160536	31	0.9996129032258064
Chr6B	333518318	339367085	Chr6B	347669438	353834821	11	1.0
Chr6B	341712366	343111521	Chr6B	356220640	357608395	5	1.0
Chr6B	370130843	374970725	Chr6B	383964670	388801588	6	1.0
Chr6B	399766388	426829844	Chr6B	413852616	442684009	62	0.997016129032258
Chr6B	429264238	441049080	Chr6B	444070652	459376339	52	0.999673076923077
Chr6B	444540716	479000671	Chr6B	462847526	497570312	182	0.9988626373626374
Chr6B	496413854	497434055	Chr6B	517281272	518291925	7	0.9997142857142858
Chr6B	516078619	620708761	Chr6B	536600563	641476927	654	0.9979617737003058
Chr6B	622726250	626889431	Chr6B	643458631	647585998	38	0.9994473684210526
Chr6B	630465748	720953306	Chr6B	651149081	746739743	908	0.9915429515418501
