gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Sumai3_tgt_chr	Sumai3_tgt_start	Sumai3_tgt_end	Sumai3_tgt_strand	Sumai3_tgt_midpoint	Sumai3_coverage	Sumai3_identity	segment
gene:TraesCS4A02G000100	Chr4A	82124	83278	-	82701	Chr4A	11120746	11121900	+	11121323	1.0	1.0	rearrangement:Chr4A_block2
gene:TraesCS4A02G000200	Chr4A	189541	192767	+	191154	Chr4A	11013193	11016419	-	11014806	1.0	1.0	rearrangement:Chr4A_block2
gene:TraesCS4A02G000300	Chr4A	192937	194561	-	193749	Chr4A	11011398	11013022	+	11012210	1.0	0.999	rearrangement:Chr4A_block2
gene:TraesCS4A02G000400	Chr4A	195787	197105	-	196446	Chr4A	11008854	11010172	+	11009513	1.0	1.0	rearrangement:Chr4A_block2
gene:TraesCS4A02G000500	Chr4A	207440	212052	+	209746	Chr4A	10993902	10998520	-	10996211	1.0	1.0	rearrangement:Chr4A_block2
gene:TraesCS4A02G000600	Chr4A	469193	478687	+	473940	Chr4A	10729330	10738572	-	10733951	1.0	0.992	rearrangement:Chr4A_block2
gene:TraesCS4A02G000700	Chr4A	533491	534126	-	533808	Chr4A	10674910	10675545	+	10675227	1.0	1.0	rearrangement:Chr4A_block2
gene:TraesCS4A02G000800	Chr4A	731622	737622	-	734622	Chr4A	10482186	10488254	+	10485220	1.0	1.0	rearrangement:Chr4A_block2
gene:TraesCS4A02G000900	Chr4A	745038	750274	-	747656	Chr4A	10469629	10474865	+	10472247	1.0	0.999	rearrangement:Chr4A_block2
gene:TraesCS4A02G001000	Chr4A	887662	888188	+	887925	Chr4A	10341637	10342163	-	10341900	1.0	1.0	rearrangement:Chr4A_block2
gene:TraesCS4A02G001100	Chr4A	898756	902187	+	900471	Chr4A	10327655	10331078	-	10329366	0.997	0.997	rearrangement:Chr4A_block2
gene:TraesCS4A02G001200	Chr4A	907552	908326	+	907939	Chr4A	10321747	10322521	-	10322134	1.0	1.0	rearrangement:Chr4A_block2
gene:TraesCS4A02G001300	Chr4A	932349	933682	-	933015	Chr4A	10296535	10297868	+	10297201	1.0	1.0	rearrangement:Chr4A_block2
gene:TraesCS4A02G001400	Chr4A	1076557	1076952	+	1076754	Chr4A	10158857	10159252	-	10159054	1.0	1.0	rearrangement:Chr4A_block2
gene:TraesCS4A02G001500	Chr4A	1153174	1155018	-	1154096	Chr4A	10086634	10088480	+	10087557	1.0	0.998	rearrangement:Chr4A_block2
gene:TraesCS4A02G001600	Chr4A	1228469	1231693	+	1230081	Chr4A	10016032	10019256	-	10017644	1.0	1.0	rearrangement:Chr4A_block2
gene:TraesCS4A02G001700	Chr4A	1530917	1531391	-	1531154	Chr4A	9719920	9720394	+	9720157	1.0	1.0	rearrangement:Chr4A_block2
gene:TraesCS4A02G001800	Chr4A	1725549	1728167	+	1726858	Chr4A	9516629	9519247	-	9517938	1.0	1.0	rearrangement:Chr4A_block2
gene:TraesCS4A02G001900	Chr4A	1875289	1877152	-	1876220	Chr4A	9365384	9367247	+	9366315	1.0	1.0	rearrangement:Chr4A_block2
gene:TraesCS4A02G002000	Chr4A	1878924	1887486	-	1883205	Chr4A	9355050	9363612	+	9359331	1.0	1.0	rearrangement:Chr4A_block2
gene:TraesCS4A02G002100	Chr4A	1890009	1900021	-	1895015	Chr4A	9343836	9352527	+	9348181	0.986	0.986	rearrangement:Chr4A_block2
gene:TraesCS4A02G002200	Chr4A	1908589	1911496	-	1910042	Chr4A	9332100	9335007	+	9333553	1.0	1.0	rearrangement:Chr4A_block2
gene:TraesCS4A02G002300	Chr4A	1912631	1913926	-	1913278	Chr4A	9329670	9330965	+	9330317	1.0	1.0	rearrangement:Chr4A_block2
gene:TraesCS4A02G002400	Chr4A	2039524	2044355	-	2041939	Chr4A	9156303	9161134	+	9158718	1.0	1.0	rearrangement:Chr4A_block2
gene:TraesCS4A02G002500	Chr4A	2150588	2157766	-	2154177	Chr4A	9044450	9051425	+	9047937	1.0	1.0	rearrangement:Chr4A_block2
gene:TraesCS4A02G002600	Chr4A	2402444	2412218	+	2407331	Chr4A	8787543	8797034	-	8792288	1.0	1.0	rearrangement:Chr4A_block2
gene:TraesCS4A02G002700	Chr4A	2413178	2418131	-	2415654	Chr4A	8781630	8786583	+	8784106	1.0	0.999	rearrangement:Chr4A_block2
gene:TraesCS4A02G002800	Chr4A	2545842	2549310	-	2547576	Chr4A	8651220	8654688	+	8652954	1.0	1.0	rearrangement:Chr4A_block2
gene:TraesCS4A02G002900	Chr4A	2555141	2556274	-	2555707	Chr4A	8644256	8645389	+	8644822	1.0	1.0	rearrangement:Chr4A_block2
gene:TraesCS4A02G003000	Chr4A	2619826	2621123	+	2620474	Chr4A	8579664	8580961	-	8580312	1.0	1.0	rearrangement:Chr4A_block2
gene:TraesCS4A02G003100	Chr4A	2636049	2637706	-	2636877	Chr4A	8562958	8564615	+	8563786	1.0	1.0	rearrangement:Chr4A_block2
gene:TraesCS4A02G003200	Chr4A	2642528	2643953	-	2643240	Chr4A	8556907	8558332	+	8557619	1.0	1.0	rearrangement:Chr4A_block2
gene:TraesCS4A02G003300	Chr4A	2737336	2739160	+	2738248	Chr4A	8462085	8463909	-	8462997	1.0	1.0	rearrangement:Chr4A_block2
gene:TraesCS4A02G003400	Chr4A	2774646	2776037	+	2775341	Chr4A	8426554	8427945	-	8427249	1.0	1.0	rearrangement:Chr4A_block2
gene:TraesCS4A02G003500	Chr4A	2786275	2786652	-	2786463	Chr4A	8415939	8416316	+	8416127	1.0	1.0	rearrangement:Chr4A_block2
gene:TraesCS4A02G003600	Chr4A	2790602	2797484	-	2794043	Chr4A	8405310	8412190	+	8408750	0.999	0.999	rearrangement:Chr4A_block2
gene:TraesCS4A02G003700	Chr4A	2905137	2906182	-	2905659	Chr4A	8292737	8293805	+	8293271	1.0	0.975	rearrangement:Chr4A_block2
gene:TraesCS4A02G003800	Chr4A	2938822	2941089	+	2939955	Chr4A	8260882	8263149	-	8262015	1.0	0.998	rearrangement:Chr4A_block2
gene:TraesCS4A02G003900	Chr4A	2942890	2945449	+	2944169	Chr4A	8256427	8258989	-	8257708	1.0	0.999	rearrangement:Chr4A_block2
gene:TraesCS4A02G004000	Chr4A	2945197	2948419	-	2946808	Chr4A	8253449	8256679	+	8255064	1.0	0.996	rearrangement:Chr4A_block2
gene:TraesCS4A02G004100	Chr4A	2951235	2959545	-	2955390	Chr4A	8243828	8250614	+	8247221	0.999	0.998	rearrangement:Chr4A_block2
gene:TraesCS4A02G004400	Chr4A	3062629	3067264	-	3064946	Chr4A	8218949	8223597	+	8221273	1.0	0.997	rearrangement:Chr4A_block2
gene:TraesCS4A02G004500	Chr4A	3079731	3083407	-	3081569	Chr4A	8202238	8205914	+	8204076	1.0	0.999	rearrangement:Chr4A_block2
gene:TraesCS4A02G004600	Chr4A	3109721	3114205	-	3111963	Chr4A	8159700	8164382	+	8162041	1.0	0.941	rearrangement:Chr4A_block2
gene:TraesCS4A02G004700	Chr4A	3114555	3118193	-	3116374	Chr4A	8155696	8159350	+	8157523	0.999	0.993	rearrangement:Chr4A_block2
gene:TraesCS4A02G004800	Chr4A	3120475	3122670	-	3121572	Chr4A	8151390	8153619	+	8152504	0.976	0.929	rearrangement:Chr4A_block2
gene:TraesCS4A02G004900	Chr4A	3134930	3140251	-	3137590	Chr4A	8133963	8139215	+	8136589	1.0	0.999	rearrangement:Chr4A_block2
gene:TraesCS4A02G005000	Chr4A	3142354	3148379	+	3145366	Chr4A	8125785	8131822	-	8128803	1.0	0.998	rearrangement:Chr4A_block2
gene:TraesCS4A02G005100	Chr4A	3147350	3153989	-	3150669	Chr4A	8120477	8126814	+	8123645	1.0	1.0	rearrangement:Chr4A_block2
gene:TraesCS4A02G005200	Chr4A	3220098	3221120	+	3220609	Chr4A	8083012	8084034	-	8083523	1.0	1.0	rearrangement:Chr4A_block2
