cs_chr	cs_start	cs_end	Sumai3_tgt_chr	Sumai3_tgt_start	Sumai3_tgt_end	n_anchors	mean_identity
Chr1B	712634	29492353	Chr1B	1516463	33860277	375	0.995296
Chr1B	31858804	76138867	Chr1B	35705493	83741934	343	0.997002915451895
Chr1B	80709308	85441230	Chr1B	90338832	95049524	18	0.9996666666666667
Chr1B	87732453	207269331	Chr1B	97340653	217026154	563	0.9991492007104795
Chr1B	213590900	218433567	Chr1B	221968843	226254789	12	0.9996666666666667
Chr1B	220753045	223795187	Chr1B	230959092	234023208	6	0.9998333333333335
Chr1B	225799645	231641237	Chr1B	236013603	241805583	9	0.9991111111111112
Chr1B	234252905	237375422	Chr1B	244405479	246547984	6	0.9984999999999999
Chr1B	239778311	243089038	Chr1B	251003314	253272502	6	1.0
Chr1B	265295754	269646441	Chr1B	273673962	278544524	22	0.9971363636363637
Chr1B	288162883	289694136	Chr1B	302174091	303683980	13	0.9998461538461539
Chr1B	292342566	292422556	Chr1B	306383029	306461428	5	1.0
Chr1B	294946215	303677391	Chr1B	308956551	317767787	40	0.9948
Chr1B	307004229	317917199	Chr1B	318020259	331752845	42	0.9929999999999999
Chr1B	322108938	682025360	Chr1B	332660488	698820276	2744	0.9963615160349852
Chr1B	684834170	685825101	Chr1B	702739683	704327671	6	1.0
Chr1B	688707404	688999168	Chr1B	705429458	705719135	3	1.0
