cs_chr	cs_start	cs_end	Sumai3_tgt_chr	Sumai3_tgt_start	Sumai3_tgt_end	n_anchors	mean_identity
Chr3D	325803	776214	Chr3D	7208038	7692110	6	0.9323333333333332
Chr3D	21204309	116408326	Chr3D	29987468	135762220	966	0.9993571428571428
Chr3D	118542402	193596645	Chr3D	137867339	213561587	421	0.9993301662707839
Chr3D	196947044	200390459	Chr3D	216918763	220358319	5	0.9998000000000001
Chr3D	202614073	202651143	Chr3D	222865230	222901283	4	1.0
Chr3D	206979095	213997235	Chr3D	227198447	233716882	11	0.9990909090909091
Chr3D	216425033	219568689	Chr3D	236128008	239239672	6	0.9996666666666667
Chr3D	225525420	232470513	Chr3D	245307988	252187589	13	0.9996153846153846
Chr3D	234603090	244292283	Chr3D	256744295	269383875	13	0.9997692307692309
Chr3D	246327705	257173258	Chr3D	270236796	282256082	29	0.9998275862068966
Chr3D	259434941	298593191	Chr3D	284499814	323508587	141	0.9975673758865249
Chr3D	310679619	317202090	Chr3D	331143729	337648398	33	0.9999090909090909
Chr3D	324387385	492131921	Chr3D	349377569	515982176	1383	0.9992205350686912
Chr3D	494653889	615474754	Chr3D	518937424	641855515	1596	0.9980983709273183
