cs_chr	cs_start	cs_end	Sumai3_tgt_chr	Sumai3_tgt_start	Sumai3_tgt_end	n_anchors	mean_identity
Chr4B	220109862	223387060	Chr4B	223925235	227158266	8	1.0
Chr4B	226512235	230010047	Chr4B	230250299	233702363	4	0.99925
Chr4B	302859664	317762138	Chr4B	284696693	301340450	35	0.9997142857142858
Chr4B	322661593	324977743	Chr4B	276938150	279233184	6	0.9973333333333333
Chr4B	327191689	330784063	Chr4B	271253447	274822260	8	1.0
Chr4B	333372518	335941430	Chr4B	266214097	268760624	5	0.9997999999999999
Chr4B	338426211	352152996	Chr4B	250073165	263740459	21	0.9971428571428572
Chr4B	234405	83143343	Chr4B	260854	86386532	807	0.9962949194547708
Chr4B	85363222	152088859	Chr4B	88934256	154703128	377	0.9965888594164456
Chr4B	154112314	161625531	Chr4B	156666484	164015962	12	0.9982500000000001
Chr4B	163837175	203850975	Chr4B	166520793	207874557	180	0.9985
Chr4B	206794132	218582903	Chr4B	210765196	222437774	36	0.9992222222222222
Chr4B	291844033	291890141	Chr4B	307765302	307809724	4	0.99875
Chr4B	295046802	296948857	Chr4B	310938268	312826676	3	0.9973333333333333
Chr4B	299559143	300937295	Chr4B	315429608	317935124	4	1.0
Chr4B	357909130	429353205	Chr4B	377985386	451088408	340	0.9977999999999999
Chr4B	431793129	673534850	Chr4B	453451265	700986673	1796	0.9950913140311803
