cs_chr	cs_start	cs_end	Sumai3_tgt_chr	Sumai3_tgt_start	Sumai3_tgt_end	n_anchors	mean_identity
Chr3B	213691	3411403	Chr3B	2911659	6158913	17	0.9988823529411766
Chr3B	6178342	85340142	Chr3B	7823044	97449424	923	0.9963607800650054
Chr3B	87718232	150155819	Chr3B	99623682	161564324	353	0.9951671388101982
Chr3B	152210057	191189469	Chr3B	161997723	201860923	227	0.9959030837004405
Chr3B	193609697	195100861	Chr3B	204257026	205735718	11	1.0
Chr3B	197792489	207735313	Chr3B	208402231	218248593	90	0.9997666666666668
Chr3B	212297313	215613173	Chr3B	222760654	226052056	13	1.0
Chr3B	219342949	230195021	Chr3B	229766725	242792308	55	0.9999636363636365
Chr3B	235855911	275341502	Chr3B	248388036	288025133	194	0.9998453608247423
Chr3B	283596077	284678121	Chr3B	294949370	296026185	4	0.995
Chr3B	291335595	296187942	Chr3B	304211216	309034983	7	0.9991428571428571
Chr3B	299132814	317625373	Chr3B	311997524	331374657	24	0.999875
Chr3B	322293448	338599491	Chr3B	335979213	352302978	24	0.999875
Chr3B	340796436	356211822	Chr3B	354484641	374334635	27	0.9989259259259259
Chr3B	358584653	367477711	Chr3B	376724729	386328552	19	0.9998421052631579
Chr3B	370730101	466686636	Chr3B	387035537	489051607	498	0.9984196787148596
Chr3B	469640104	514129864	Chr3B	493031665	537398568	258	0.9939147286821703
Chr3B	519052799	819956198	Chr3B	537447114	847135773	2505	0.9958994011976048
Chr3B	822539849	830611341	Chr3B	847205104	856327722	104	0.993326923076923
