cs_chr	cs_start	cs_end	Sumai3_tgt_chr	Sumai3_tgt_start	Sumai3_tgt_end	n_anchors	mean_identity
Chr2A	260548731	262579565	Chr2A	252466332	254561795	7	0.9995714285714286
Chr2A	265274570	273294992	Chr2A	242539637	251267485	15	0.9971333333333331
Chr2A	275352399	278919157	Chr2A	236848393	240374461	18	0.9962777777777778
Chr2A	337666978	338546598	Chr2A	331365213	332361298	6	0.9956666666666667
Chr2A	342544978	350405869	Chr2A	357145008	364990003	13	0.9953846153846153
Chr2A	360420161	362444338	Chr2A	370097406	372176148	8	0.9978750000000001
Chr2A	254112	233473266	Chr2A	267023	236023337	2115	0.9972855791962175
Chr2A	255910505	258353437	Chr2A	256876463	259269146	8	0.9975
Chr2A	278994740	281746218	Chr2A	281161591	283925150	5	0.9986
Chr2A	283944564	286439768	Chr2A	286177811	288766888	5	0.9966000000000002
Chr2A	288988301	293951072	Chr2A	291286251	296124763	7	0.9911428571428572
Chr2A	297253831	306682759	Chr2A	298443177	309393299	10	0.9971
Chr2A	309689781	315039543	Chr2A	312373261	319209648	7	0.9861428571428572
Chr2A	317947462	324619894	Chr2A	322050175	328795894	12	0.9951666666666666
Chr2A	332023391	335848607	Chr2A	334180362	337966180	25	0.9917199999999999
Chr2A	350719865	355457690	Chr2A	351874928	356813935	8	0.996125
Chr2A	364470917	395710262	Chr2A	365423002	400632781	99	0.9964343434343433
Chr2A	406714355	486499474	Chr2A	406569403	486249776	267	0.9968202247191011
Chr2A	488847564	547776466	Chr2A	488567873	546503528	315	0.9961746031746033
Chr2A	562982979	567735681	Chr2A	562985506	567744460	35	0.9981714285714286
Chr2A	582840575	761027623	Chr2A	581686913	761624163	1994	0.9970085255767301
Chr2A	771073879	775439694	Chr2A	768951006	773438456	62	0.9965483870967742
Chr2A	549288612	562681786	Chr2A	567965755	581369630	100	0.99469
Chr2A	775527545	780777724	Chr2A	761954066	768828202	67	0.9675373134328359
