cs_chr	cs_start	cs_end	Sumai3_tgt_chr	Sumai3_tgt_start	Sumai3_tgt_end	n_anchors	mean_identity
Chr4A	3799385	9058129	Chr4A	2261518	7508381	82	0.9976829268292683
Chr4A	11318679	52611541	Chr4A	11288218	52433283	400	0.9962450000000002
Chr4A	58221890	63549177	Chr4A	57235401	62594247	51	0.9941568627450978
Chr4A	70810849	75971067	Chr4A	69972957	75131877	40	0.9936250000000001
Chr4A	81276884	130504034	Chr4A	81232250	130407470	281	0.9954306049822065
Chr4A	132701921	192628546	Chr4A	132448726	191977264	258	0.998794573643411
Chr4A	195313531	220022826	Chr4A	194645329	219213944	45	0.9980222222222223
Chr4A	222107768	222562036	Chr4A	221292313	221768308	3	1.0
Chr4A	225313869	227091476	Chr4A	224486870	226246968	4	1.0
Chr4A	229493172	242884659	Chr4A	228627492	241936392	21	1.0
Chr4A	329170186	334268011	Chr4A	327949582	333147089	6	0.9994999999999999
Chr4A	338745706	350244063	Chr4A	337615308	348923416	23	0.9998260869565219
Chr4A	352270324	353874280	Chr4A	351018169	352611960	4	1.0
Chr4A	356554191	359638234	Chr4A	355263320	358305496	6	0.9998333333333335
Chr4A	362089683	365639149	Chr4A	360735928	364284144	5	1.0
Chr4A	373805571	387104269	Chr4A	374139175	387355388	15	0.9996666666666667
Chr4A	389242085	390892975	Chr4A	389479850	391105079	3	1.0
Chr4A	395027325	398506001	Chr4A	395209966	398652244	6	1.0
Chr4A	400757887	401303656	Chr4A	400880902	401432051	3	0.999
Chr4A	407610912	420517232	Chr4A	407678468	420563697	17	0.9997647058823529
Chr4A	422761993	508494353	Chr4A	422793181	508000577	414	0.9981183574879228
Chr4A	510639254	641610833	Chr4A	510112475	644176464	1482	0.9973616734143049
Chr4A	662285471	667425914	Chr4A	663394705	669191180	53	0.9985660377358491
Chr4A	686530004	694861888	Chr4A	692258070	701694548	61	0.9975409836065575
Chr4A	697386509	697439685	Chr4A	703900037	703998665	3	0.9369999999999999
Chr4A	699791911	704250397	Chr4A	706750067	710580192	36	0.9920833333333334
Chr4A	708299794	708321846	Chr4A	715166147	715188197	3	1.0
Chr4A	741536264	744523018	Chr4A	745802339	748608494	29	0.9632758620689654
