cs_chr	cs_start	cs_end	Sumai3_tgt_chr	Sumai3_tgt_start	Sumai3_tgt_end	n_anchors	mean_identity
Chr7B	155467825	169470795	Chr7B	170658588	183248450	69	0.9940289855072465
Chr7B	172575428	278933515	Chr7B	186033498	292246780	405	0.9986839506172839
Chr7B	281386105	293981562	Chr7B	294665727	308771543	20	0.99915
Chr7B	297390309	307364806	Chr7B	317156065	326949254	19	0.9998421052631581
Chr7B	312814982	340640628	Chr7B	159871624	354916915	99	0.9974949494949495
Chr7B	342994491	357646983	Chr7B	344094931	367748061	17	0.9994705882352941
Chr7B	34838	154814815	Chr7B	40803	159206788	1202	0.9970499168053246
Chr7B	295082068	296338725	Chr7B	301508400	302874695	3	0.9996666666666667
Chr7B	310413787	312442469	Chr7B	314424555	316300614	5	0.9996
Chr7B	337929275	339223535	Chr7B	342257114	343461965	3	1.0
Chr7B	357994137	389109218	Chr7B	358124403	394317303	135	0.9989925925925927
Chr7B	391956637	405970176	Chr7B	397167334	411180532	52	0.9995384615384615
Chr7B	408568404	419042240	Chr7B	413756982	424346088	45	0.9998666666666667
Chr7B	421064524	541167218	Chr7B	426337078	547813699	767	0.9975658409387224
Chr7B	543188151	562991388	Chr7B	549809685	569526119	111	0.9992792792792793
Chr7B	565055644	733706934	Chr7B	571548321	748109569	1348	0.993146884272997
Chr7B	749332248	750609249	Chr7B	763211291	764943597	17	0.9631176470588236
Chr7B	734139327	734772755	Chr7B	749749728	750615588	12	0.9923333333333333
Chr7B	741985958	742464632	Chr7B	765080280	765613777	12	0.9975833333333332
